Ward,Canopy cover %
Waterloo & South Bank,11.01
Brixton Acre Lane,11.17
Vauxhall,11.44
Streatham Hill West & Thornton,13.74
Brixton Rush Common,13.82
Brixton Windrush,13.82
Streatham St Leonard's,14.30
Brixton North,15.33
Clapham East,15.47
Oval,16.09
Clapham Common & Abbeville,16.54
Knight's Hill,16.58
Herne Hill & Loughborough Junction,17.15
Clapham Park,17.26
Stockwell West & Larkhall,18.05
Clapham Town,18.07
Streatham Common & Vale,18.16
Streatham Wells,18.25
St Martin's,18.52
Myatt's Fields,18.58
Stockwell East,18.77
Kennington,20.07
Gipsy Hill,21.00
Streatham Hill East,21.09
West Dulwich,24.20
