Ward name,Opened,Closed,Opened / Closed,Ward rank
Oval,13,9,1.4444444444444444,1.0
Herne Hill,10,7,1.4285714285714286,2.0
Prince's,4,3,1.3333333333333333,3.0
Streatham South,10,9,1.1111111111111112,4.0
Thurlow Park,5,5,1.0,6.0
Thornton,1,1,1.0,6.0
Knight's Hill,8,8,1.0,6.0
Stockwell,6,7,0.8571428571428571,8.0
St Leonard's,26,33,0.7878787878787878,9.0
Clapham Common,7,9,0.7777777777777778,10.0
Ferndale,13,18,0.7222222222222222,11.0
Streatham Hill,7,11,0.6363636363636364,12.5
Vassall,7,11,0.6363636363636364,12.5
Clapham Town,10,17,0.5882352941176471,14.0
Brixton Hill,11,19,0.5789473684210527,15.0
Streatham Wells,10,19,0.5263157894736842,16.0
Bishop's,20,39,0.5128205128205128,17.0
Gipsy Hill,2,4,0.5,18.0
Coldharbour,26,55,0.4727272727272727,19.0
Larkhall,9,21,0.42857142857142855,20.0
Tulse Hill,1,5,0.2,21.0
