"area label","area long label","area","Trend of changes in business rateable value","Trend of changes in business rateable value","Trend of changes in business rateable value","Trend of changes in business rateable value","Trend of changes in business rateable value","Trend of changes in business rateable value","Trend of changes in business rateable value","Trend of changes in business rateable value","Trend of changes in business rateable value","Trend of changes in business rateable value","Trend of changes in business rateable value","Trend of changes in business rateable value","Trend of changes in business rateable value","Trend of changes in business rateable value","Trend of changes in business rateable value","Trend of changes in business rateable value","Trend of changes in business rateable value","Trend of changes in business rateable value","Trend of changes in business rateable value","Trend of changes in business rateable value","Trend of changes in business rateable value","Trend of changes in business rateable value"
"area label","area long label","area","4144","4144","4144","4144","4144","4144","4144","4144","4144","4144","4144","4144","4144","4144","4144","4144","4144","4144","4144","4144","4144","4144"
"area label","area long label","area","Index","Index","Index","Index","Index","Index","Index","Index","Index","Index","Index","Index","Index","Index","Index","Index","Index","Index","Index","Index","Index","Index"
"area label","area long label","area","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw"
"area label","area long label","area","2000/01","2001/02","2002/03","2003/04","2004/05","2005/06","2006/07","2007/08","2008/09","2009/10","2010/11","2011/12","2012/13","2013/14","2014/15","2015/16","2016/17","2017/18","2018/19","2019/20","2020/21","2021/22"
"area label","area long label","area","fin_2000_01","fin_2001_02","fin_2002_03","fin_2003_04","fin_2004_05","fin_2005_06","fin_2006_07","fin_2007_08","fin_2008_09","fin_2009_10","fin_2010_11","fin_2011_12","fin_2012_13","fin_2013_14","fin_2014_15","fin_2015_16","fin_2016_17","fin_2017_18","fin_2018_19","fin_2019_20","fin_2020_21","fin_2021_22"
"Barking and Dagenham","Barking and Dagenham (London borough)","E09000002","100.95","99.05","100.00","103.81","102.86","116.19","113.33","111.43","110.48","110.48","140.00","138.10","139.05","140.95","131.43","134.29","132.38","148.57","146.67","146.67","147.62","146.67"
"Barnet","Barnet (London borough)","E09000003","103.13","101.04","100.00","99.48","98.96","122.40","122.92","121.88","119.27","119.27","148.96","148.96","147.40","147.40","143.75","141.67","142.19","157.29","154.69","155.73","154.17","152.60"
"Bexley","Bexley (London borough)","E09000004","92.91","99.21","100.00","99.21","96.06","118.90","118.11","117.32","116.54","116.54","129.92","132.28","137.01","137.01","135.43","136.22","137.80","149.61","149.61","151.18","150.39","149.61"
"Brent","Brent (London borough)","E09000005","103.68","103.68","100.00","97.37","95.79","114.21","112.11","116.32","117.89","116.84","142.11","142.11","143.68","147.89","146.32","148.95","150.00","169.47","168.42","167.89","165.26","163.16"
"Bromley","Bromley (London borough)","E09000006","104.19","102.40","100.00","98.80","96.41","117.37","117.37","116.77","116.77","117.96","129.34","128.74","129.34","128.74","128.14","126.35","126.95","146.71","146.11","145.51","145.51","143.71"
"Camden","Camden (London borough)","E09000007","98.94","99.70","100.00","99.85","98.33","126.06","125.00","121.82","123.33","124.85","184.55","189.24","187.88","189.09","189.24","187.88","188.03","247.58","245.76","241.67","239.39","236.82"
