"area label","area long label","area","Non-domestic rates collected financial - quarterly","Non-domestic rates collected financial - quarterly","Non-domestic rates collected financial - quarterly","Non-domestic rates collected financial - quarterly","Non-domestic rates collected financial - quarterly","Non-domestic rates collected financial - quarterly","Non-domestic rates collected financial - quarterly","Non-domestic rates collected financial - quarterly","Non-domestic rates collected financial - quarterly","Non-domestic rates collected financial - quarterly","Non-domestic rates collected financial - quarterly","Non-domestic rates collected financial - quarterly","Non-domestic rates collected financial - quarterly","Non-domestic rates collected financial - quarterly","Non-domestic rates collected financial - quarterly","Non-domestic rates collected financial - quarterly","Non-domestic rates collected financial - quarterly","Non-domestic rates collected financial - quarterly","Non-domestic rates collected financial - quarterly","Non-domestic rates collected financial - quarterly","Non-domestic rates collected financial - quarterly","Non-domestic rates collected financial - quarterly","Non-domestic rates collected financial - quarterly","Non-domestic rates collected financial - quarterly","Non-domestic rates collected financial - quarterly","Non-domestic rates collected financial - quarterly","Non-domestic rates collected financial - quarterly","Non-domestic rates collected financial - quarterly","Non-domestic rates collected financial - quarterly","Non-domestic rates collected financial - quarterly","Non-domestic rates collected financial - quarterly","Non-domestic rates collected financial - quarterly","Non-domestic rates collected financial - quarterly","Non-domestic rates collected financial - quarterly","Non-domestic rates collected financial - quarterly","Non-domestic rates collected financial - quarterly","Non-domestic rates collected financial - quarterly","Non-domestic rates collected financial - quarterly","Non-domestic rates collected financial - quarterly","Non-domestic rates collected financial - quarterly","Non-domestic rates collected financial - quarterly","Non-domestic rates collected financial - quarterly","Non-domestic rates collected financial - quarterly","Non-domestic rates collected financial - quarterly","Non-domestic rates collected financial - quarterly","Non-domestic rates collected financial - quarterly","Non-domestic rates collected financial - quarterly","Non-domestic rates collected financial - quarterly","Non-domestic rates collected financial - quarterly"
"area label","area long label","area","3404","3404","3404","3404","3404","3404","3404","3404","3404","3404","3404","3404","3404","3404","3404","3404","3404","3404","3404","3404","3404","3404","3404","3404","3404","3404","3404","3404","3404","3404","3404","3404","3404","3404","3404","3404","3404","3404","3404","3404","3404","3404","3404","3404","3404","3404","3404","3404","3404"
"area label","area long label","area","GBP (000)","GBP (000)","GBP (000)","GBP (000)","GBP (000)","GBP (000)","GBP (000)","GBP (000)","GBP (000)","GBP (000)","GBP (000)","GBP (000)","GBP (000)","GBP (000)","GBP (000)","GBP (000)","GBP (000)","GBP (000)","GBP (000)","GBP (000)","GBP (000)","GBP (000)","GBP (000)","GBP (000)","GBP (000)","GBP (000)","GBP (000)","GBP (000)","GBP (000)","GBP (000)","GBP (000)","GBP (000)","GBP (000)","GBP (000)","GBP (000)","GBP (000)","GBP (000)","GBP (000)","GBP (000)","GBP (000)","GBP (000)","GBP (000)","GBP (000)","GBP (000)","GBP (000)","GBP (000)","GBP (000)","GBP (000)","GBP (000)"
"area label","area long label","area","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw"
"area label","area long label","area","2010/11 Q1","2010/11 Q2","2010/11 Q3","2010/11 Q4","2011/12 Q1","2011/12 Q2","2011/12 Q3","2011/12 Q4","2012/13 Q1","2012/13 Q2","2012/13 Q3","2012/13 Q4","2013/14 Q1","2013/14 Q2","2013/14 Q3","2013/14 Q4","2014/15 Q1","2014/15 Q2","2014/15 Q3","2014/15 Q4","2015/16 Q1","2015/16 Q2","2015/16 Q3","2015/16 Q4","2016/17 Q1","2016/17 Q2","2016/17 Q3","2016/17 Q4","2017/18 Q1","2017/18 Q2","2017/18 Q3","2017/18 Q4","2018/19 Q1","2018/19 Q2","2018/19 Q3","2018/19 Q4","2019/20 Q1","2019/20 Q2","2019/20 Q3","2019/20 Q4","2020/21 Q1","2020/21 Q2","2020/21 Q3","2020/21 Q4","2021/22 Q1","2021/22 Q2","2021/22 Q3","2021/22 Q4","2022/23 Q1"
"area label","area long label","area","fq_Q1_2010_11","fq_Q2_2010_11","fq_Q3_2010_11","fq_Q4_2010_11","fq_Q1_2011_12","fq_Q2_2011_12","fq_Q3_2011_12","fq_Q4_2011_12","fq_Q1_2012_13","fq_Q2_2012_13","fq_Q3_2012_13","fq_Q4_2012_13","fq_Q1_2013_14","fq_Q2_2013_14","fq_Q3_2013_14","fq_Q4_2013_14","fq_Q1_2014_15","fq_Q2_2014_15","fq_Q3_2014_15","fq_Q4_2014_15","fq_Q1_2015_16","fq_Q2_2015_16","fq_Q3_2015_16","fq_Q4_2015_16","fq_Q1_2016_17","fq_Q2_2016_17","fq_Q3_2016_17","fq_Q4_2016_17","fq_Q1_2017_18","fq_Q2_2017_18","fq_Q3_2017_18","fq_Q4_2017_18","fq_Q1_2018_19","fq_Q2_2018_19","fq_Q3_2018_19","fq_Q4_2018_19","fq_Q1_2019_20","fq_Q2_2019_20","fq_Q3_2019_20","fq_Q4_2019_20","fq_Q1_2020_21","fq_Q2_2020_21","fq_Q3_2020_21","fq_Q4_2020_21","fq_Q1_2021_22","fq_Q2_2021_22","fq_Q3_2021_22","fq_Q4_2021_22","fq_Q1_2022_23"
"Barking and Dagenham","Barking and Dagenham (London borough)","E09000002","16,935","11,069","11,571","8,361","13,183","18,422","12,083","9,432","19,417","13,785","13,937","7,841","19,614","13,835","13,597","9,746","19,569","14,428","14,002","11,095","17,900","13,497","13,229","9,777","19,085","12,913","13,955","10,172","19,795","14,758","14,317","9,810","19,942","15,162","14,297","9,761","20,806","15,412","15,688","9,477","12,657","8,990","8,580","7,768","14,665","14,976","14,307","10,095","14,177"
"Barnet","Barnet (London borough)","E09000003","31,261","28,948","28,408","5,554","29,197","33,667","30,922","11,867","36,119","29,438","30,176","9,656","37,270","29,618","31,512","11,831","31,400","31,235","28,320","17,742","29,122","31,703","26,961","16,575","31,861","31,366","28,579","18,444","37,854","29,579","28,294","18,225","33,902","31,929","29,965","15,628","29,591","26,673","29,781","16,946","8,988","10,412","9,030","4,955","11,229","23,732","25,173","21,470","29,707"
"Bexley","Bexley (London borough)","E09000004","18,318","18,946","15,719","4,428","15,335","20,939","18,335","6,767","21,509","17,140","18,889","6,890","22,524","18,477","18,376","10,213","21,553","19,984","18,275","8,408","19,207","18,768","19,260","10,650","22,144","19,362","19,988","12,521","21,781","18,672","20,385","11,288","22,725","19,196","21,081","11,051","23,418","20,724","20,504","10,977","13,828","10,363","10,152","6,620","13,280","18,660","20,570","13,768","19,111"
"Brent","Brent (London borough)","E09000005","26,836","25,406","25,495","10,903","21,291","28,700","28,396","11,912","29,594","29,224","31,659","11,743","32,938","33,375","34,752","8,034","32,938","33,375","34,752","11,543","33,226","35,204","31,400","16,820","36,228","35,494","36,615","14,815","35,871","38,323","36,091","14,804","36,403","34,246","37,731","19,725","38,788","36,765","35,072","7,735","16,044","16,313","23,250","752","16,857","27,806","27,708","19,997","30,904"
"Bromley","Bromley (London borough)","E09000006","24,631","23,369","20,556","8,928","23,795","22,212","22,270","9,133","25,077","22,604","23,550","9,185","25,983","25,140","23,941","9,269","25,885","22,406","22,099","13,765","24,807","22,721","21,825","13,276","25,278","23,084","22,692","16,250","26,523","24,335","23,930","15,438","24,153","23,712","24,999","16,139","26,438","24,323","24,013","15,609","10,224","8,462","8,252","3,641","12,234","18,156","25,125","17,682","23,151"
"Camden","Camden (London borough)","E09000007","123,716","102,762","95,890","36,179","141,158","120,264","123,613","52,387","160,937","134,212","128,717","49,001","163,195","137,880","132,856","54,031","165,672","132,765","128,126","58,315","161,924","137,839","138,039","62,223","168,201","141,902","137,946","58,164","203,885","156,856","147,119","77,068","207,565","170,290","160,283","82,539","210,170","176,208","168,149","76,639","129,928","113,162","126,873","58,422","145,619","140,833","159,556","121,399","153,690"
"Croydon","Croydon (London borough)","E09000008","33,299","28,688","30,479","8,967","30,377","30,567","31,011","16,408","33,490","32,251","32,461","13,708","31,039","31,475","33,472","18,634","31,948","29,371","30,450","20,272","33,225","29,573","29,926","17,453","33,580","30,633","29,078","21,724","33,584","31,718","31,033","16,991","35,702","31,231","33,035","21,790","34,611","30,535","31,479","20,940","18,384","14,451","15,631","9,284","19,949","24,501","30,527","27,157","32,889"
