"area label","area long label","area","Rate of births of new enterprises","Rate of births of new enterprises","Rate of births of new enterprises","Rate of births of new enterprises","Rate of births of new enterprises","Rate of births of new enterprises","Rate of births of new enterprises","Rate of births of new enterprises","Rate of births of new enterprises","Rate of births of new enterprises","Rate of births of new enterprises","Rate of births of new enterprises","Rate of births of new enterprises","Rate of births of new enterprises","Rate of births of new enterprises","Rate of births of new enterprises","Rate of births of new enterprises"
"area label","area long label","area","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42"
"area label","area long label","area","Enterprises per 10,000 people","Enterprises per 10,000 people","Enterprises per 10,000 people","Enterprises per 10,000 people","Enterprises per 10,000 people","Enterprises per 10,000 people","Enterprises per 10,000 people","Enterprises per 10,000 people","Enterprises per 10,000 people","Enterprises per 10,000 people","Enterprises per 10,000 people","Enterprises per 10,000 people","Enterprises per 10,000 people","Enterprises per 10,000 people","Enterprises per 10,000 people","Enterprises per 10,000 people","Enterprises per 10,000 people"
"area label","area long label","area","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw"
"area label","area long label","area","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"area label","area long label","area","cal_2005","cal_2006","cal_2007","cal_2008","cal_2009","cal_2010","cal_2011","cal_2012","cal_2013","cal_2014","cal_2015","cal_2016","cal_2017","cal_2018","cal_2019","cal_2020","cal_2021"
"Barking and Dagenham","Barking and Dagenham (London borough)","E09000002","39.5","38.4","40.2","55.9","46.6","46.8","60.3","60.3","83.2","90.2","112.3","116.1","90.7","97.3","103.6","103.5","106.1"
"Barnet","Barnet (London borough)","E09000003","93.0","81.8","86.7","97.0","87.9","87.6","100.1","104.3","128.6","135.3","149.3","132.6","125.4","115.9","136.0","128.5","147.9"
"Bexley","Bexley (London borough)","E09000004","51.1","50.5","48.7","44.1","39.7","45.8","51.0","48.1","71.2","76.3","83.3","82.7","70.6","63.9","78.2","60.2","65.8"
"Brent","Brent (London borough)","E09000005","80.5","71.0","77.4","83.9","70.8","67.0","76.8","78.9","99.8","101.9","113.2","113.2","99.2","105.8","110.2","104.5","99.7"
"Bromley","Bromley (London borough)","E09000006","62.5","62.7","72.0","62.8","53.5","59.5","63.3","66.2","81.4","84.9","89.7","90.0","93.0","80.7","78.4","69.5","70.9"
