"area label","area long label","area","Deaths of enterprises, per 10,000 aged 16+","Deaths of enterprises, per 10,000 aged 16+","Deaths of enterprises, per 10,000 aged 16+","Deaths of enterprises, per 10,000 aged 16+","Deaths of enterprises, per 10,000 aged 16+","Deaths of enterprises, per 10,000 aged 16+","Deaths of enterprises, per 10,000 aged 16+","Deaths of enterprises, per 10,000 aged 16+","Deaths of enterprises, per 10,000 aged 16+","Deaths of enterprises, per 10,000 aged 16+","Deaths of enterprises, per 10,000 aged 16+","Deaths of enterprises, per 10,000 aged 16+","Deaths of enterprises, per 10,000 aged 16+","Deaths of enterprises, per 10,000 aged 16+","Deaths of enterprises, per 10,000 aged 16+","Deaths of enterprises, per 10,000 aged 16+","Deaths of enterprises, per 10,000 aged 16+","Deaths of enterprises, per 10,000 aged 16+"
"area label","area long label","area","1072","1072","1072","1072","1072","1072","1072","1072","1072","1072","1072","1072","1072","1072","1072","1072","1072","1072"
"area label","area long label","area","Enterprises per 10,000 people","Enterprises per 10,000 people","Enterprises per 10,000 people","Enterprises per 10,000 people","Enterprises per 10,000 people","Enterprises per 10,000 people","Enterprises per 10,000 people","Enterprises per 10,000 people","Enterprises per 10,000 people","Enterprises per 10,000 people","Enterprises per 10,000 people","Enterprises per 10,000 people","Enterprises per 10,000 people","Enterprises per 10,000 people","Enterprises per 10,000 people","Enterprises per 10,000 people","Enterprises per 10,000 people","Enterprises per 10,000 people"
"area label","area long label","area","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw"
"area label","area long label","area","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"area label","area long label","area","cal_2004","cal_2005","cal_2006","cal_2007","cal_2008","cal_2009","cal_2010","cal_2011","cal_2012","cal_2013","cal_2014","cal_2015","cal_2016","cal_2017","cal_2018","cal_2019","cal_2020","cal_2021"
"Barking and Dagenham","Barking and Dagenham (London borough)","E09000002","32.34","31.23","27.29","28.36","32.60","43.58","43.12","32.49","39.93","41.78","45.77","51.61","59.71","84.54","75.91","71.00","69.75","80.09"
"Barnet","Barnet (London borough)","E09000003","116.93","102.57","88.04","99.66","87.11","108.65","100.36","93.61","105.68","98.64","96.76","114.17","101.07","109.69","90.08","95.08","94.68","95.31"
"Bexley","Bexley (London borough)","E09000004","45.77","42.88","41.22","38.94","41.09","48.25","46.07","38.61","46.71","47.29","47.72","49.07","51.62","69.04","61.39","54.58","62.48","64.02"
"Brent","Brent (London borough)","E09000005","81.37","69.36","60.32","60.17","58.11","75.68","57.79","53.94","61.71","61.71","61.91","70.38","67.96","85.09","78.16","78.24","80.44","81.65"
"Bromley","Bromley (London borough)","E09000006","57.69","54.38","49.89","49.39","50.40","70.55","56.83","49.84","55.92","52.84","55.45","62.13","60.35","76.11","68.94","73.70","74.75","78.45"
