Measure,Date,Borough Trends,Borough,Proportion
Police do a good job in the local area,December 2014,Public Perceptions >>,Lambeth,62%
Knows how to contact their local ward officer,December 2014,Public Perceptions >>,Lambeth,43%
Feels well informed about local police activities over the last 12 months,December 2014,Public Perceptions >>,Lambeth,47%
Agree the police listen to the concerns of local people,December 2014,Public Perceptions >>,Lambeth,64%
Agree the police can be relied upon to be there when needed,December 2014,Public Perceptions >>,Lambeth,71%
Agree the police treat everyone fairly regardless of who they are,December 2014,Public Perceptions >>,Lambeth,65%
Agree the police are dealing with the things that matter to this community,December 2014,Public Perceptions >>,Lambeth,67%
Police do a good job in the local area,March 2015,Public Perceptions >>,Lambeth,67%
Knows how to contact their local ward officer,March 2015,Public Perceptions >>,Lambeth,55%
Feels well informed about local police activities over the last 12 months,March 2015,Public Perceptions >>,Lambeth,46%
Agree the police listen to the concerns of local people,March 2015,Public Perceptions >>,Lambeth,68%
Agree the police can be relied upon to be there when needed,March 2015,Public Perceptions >>,Lambeth,76%
Agree the police treat everyone fairly regardless of who they are,March 2015,Public Perceptions >>,Lambeth,67%
Agree the police are dealing with the things that matter to this community,March 2015,Public Perceptions >>,Lambeth,70%
Police do a good job in the local area,June 2015,Public Perceptions >>,Lambeth,62%
Knows how to contact their local ward officer,June 2015,Public Perceptions >>,Lambeth,51%
Feels well informed about local police activities over the last 12 months,June 2015,Public Perceptions >>,Lambeth,46%
Agree the police listen to the concerns of local people,June 2015,Public Perceptions >>,Lambeth,69%
Agree the police can be relied upon to be there when needed,June 2015,Public Perceptions >>,Lambeth,75%
Agree the police treat everyone fairly regardless of who they are,June 2015,Public Perceptions >>,Lambeth,64%
Agree the police are dealing with the things that matter to this community,June 2015,Public Perceptions >>,Lambeth,71%
Police do a good job in the local area,September 2015,Public Perceptions >>,Lambeth,69%
Knows how to contact their local ward officer,September 2015,Public Perceptions >>,Lambeth,44%
Feels well informed about local police activities over the last 12 months,September 2015,Public Perceptions >>,Lambeth,46%
Agree the police listen to the concerns of local people,September 2015,Public Perceptions >>,Lambeth,69%
Agree the police can be relied upon to be there when needed,September 2015,Public Perceptions >>,Lambeth,76%
Agree the police treat everyone fairly regardless of who they are,September 2015,Public Perceptions >>,Lambeth,66%
Agree the police are dealing with the things that matter to this community,September 2015,Public Perceptions >>,Lambeth,71%
