GLA area 2021,,,,,,,,,,,,,,
_Collision Id,Borough Name,Borough Number,Easting,Northing,_Casualty Id,_Casualty Class,Casualty Gender,Casualty Age (5 Year Bands),Casualty Age,_Casualty Count,_Casualty Severity,Pedestrian Location,Pedestrian Movement,Casualty Mode of Travel
1210287148,Barnet,30,521508,193079,1,Driver/Rider,Male,15-19,19,1,Slight,Not Applicable,Not Applicable,Car
1210287149,Tower Hamlets,5,535379,180783,1,Passenger,Male,25-29,25,1,Slight,Not Applicable,Not Applicable,Car
1210287149,Tower Hamlets,5,535379,180783,2,Driver/Rider,Male,20-24,21,1,Slight,Not Applicable,Not Applicable,Car
1210287149,Tower Hamlets,5,535379,180783,3,Passenger,Male,15-19,17,1,Serious,Not Applicable,Not Applicable,Car
1210287151,Lambeth,9,529701,170398,1,Driver/Rider,Male,25-29,27,1,Slight,Not Applicable,Not Applicable,Car
1210287151,Lambeth,9,529701,170398,2,Driver/Rider,Male,25-29,27,1,Serious,Not Applicable,Not Applicable,Car
1210287151,Lambeth,9,529701,170398,3,Passenger,Male,25-29,28,1,Slight,Not Applicable,Not Applicable,Car
1210287151,Lambeth,9,529701,170398,4,Passenger,Male,20-24,20,1,Slight,Not Applicable,Not Applicable,Car
1210287155,Kensington & Chelsea,12,525312,178385,1,Pedestrian,Male,45-49,49,1,Fatal,Crossing Road Within 50m Xing,Unknown Or Other,Pedestrian
1210287157,Hounslow,25,512144,171526,1,Driver/Rider,Male,35-39,37,1,Slight,Not Applicable,Not Applicable,Car
1210287163,Tower Hamlets,5,536569,183334,1,Driver/Rider,Male,40-44,42,1,Serious,Not Applicable,Not Applicable,Car
1210287167,Haringey,31,531818,188393,1,Driver/Rider,Male,25-29,25,1,Slight,Not Applicable,Not Applicable,Car
1210287168,Redbridge,14,541068,190017,1,Passenger,Male,30-34,30,1,Slight,Not Applicable,Not Applicable,Bus Or Coach
1210287185,Sutton,21,530553,162637,1,Pedestrian,Male,50-54,50,1,Serious,On Footpath - Verge,Unknown Or Other,Pedestrian
1210287189,Redbridge,14,543401,186128,1,Driver/Rider,Female,20-24,23,1,Slight,Not Applicable,Not Applicable,Car
1210287201,Redbridge,14,544716,187398,1,Driver/Rider,Male,50-54,51,1,Slight,Not Applicable,Not Applicable,Powered 2 Wheeler
1210287204,Hounslow,25,520360,177946,1,Driver/Rider,Male,65-69,68,1,Slight,Not Applicable,Not Applicable,Goods Vehicle
1210287210,Tower Hamlets,5,534450,181867,1,Driver/Rider,Male,30-34,32,1,Slight,Not Applicable,Not Applicable,Powered 2 Wheeler
1210287223,Kingston-Upon-Thames,23,518548,166883,1,Driver/Rider,Male,45-49,46,1,Slight,Not Applicable,Not Applicable,Powered 2 Wheeler
1210287227,Lambeth,9,530456,173916,1,Driver/Rider,Female,25-29,29,1,Slight,Not Applicable,Not Applicable,Pedal Cycle
