Electoral wards and divisions Code,Electoral wards and divisions,Household deprived in the education dimension (3 categories) Code,Attribute,Value
E05014095,Brixton Acre Lane,Does not apply,Education,0
E05014095,Brixton Acre Lane,Does not apply,Employment,1
E05014095,Brixton Acre Lane,Does not apply,Health,0
E05014095,Brixton Acre Lane,Does not apply,Housing,0
E05014095,Brixton Acre Lane,Not Deprived,Education,5788
E05014095,Brixton Acre Lane,Not Deprived,Employment,5746
E05014095,Brixton Acre Lane,Not Deprived,Health,4981
E05014095,Brixton Acre Lane,Not Deprived,Housing,5518
E05014095,Brixton Acre Lane,Deprived,Education,829
E05014095,Brixton Acre Lane,Deprived,Employment,870
E05014095,Brixton Acre Lane,Deprived,Health,1636
E05014095,Brixton Acre Lane,Deprived,Housing,1099
E05014096,Brixton North,Does not apply,Education,0
E05014096,Brixton North,Does not apply,Employment,0
E05014096,Brixton North,Does not apply,Health,0
E05014096,Brixton North,Does not apply,Housing,0
E05014096,Brixton North,Not Deprived,Education,5439
E05014096,Brixton North,Not Deprived,Employment,5515
E05014096,Brixton North,Not Deprived,Health,4779
E05014096,Brixton North,Not Deprived,Housing,5018
E05014096,Brixton North,Deprived,Education,1272
E05014096,Brixton North,Deprived,Employment,1196
E05014096,Brixton North,Deprived,Health,1932
E05014096,Brixton North,Deprived,Housing,1694
E05014097,Brixton Rush Common,Does not apply,Education,0
E05014097,Brixton Rush Common,Does not apply,Employment,0
E05014097,Brixton Rush Common,Does not apply,Health,0
E05014097,Brixton Rush Common,Does not apply,Housing,0
E05014097,Brixton Rush Common,Not Deprived,Education,5399
E05014097,Brixton Rush Common,Not Deprived,Employment,5398
E05014097,Brixton Rush Common,Not Deprived,Health,4650
E05014097,Brixton Rush Common,Not Deprived,Housing,5078
E05014097,Brixton Rush Common,Deprived,Education,911
E05014097,Brixton Rush Common,Deprived,Employment,912
E05014097,Brixton Rush Common,Deprived,Health,1660
E05014097,Brixton Rush Common,Deprived,Housing,1232
E05014098,Brixton Windrush,Does not apply,Education,0
E05014098,Brixton Windrush,Does not apply,Employment,0
E05014098,Brixton Windrush,Does not apply,Health,0
E05014098,Brixton Windrush,Does not apply,Housing,0
E05014098,Brixton Windrush,Not Deprived,Education,3498
E05014098,Brixton Windrush,Not Deprived,Employment,3402
E05014098,Brixton Windrush,Not Deprived,Health,2905
E05014098,Brixton Windrush,Not Deprived,Housing,3280
E05014098,Brixton Windrush,Deprived,Education,591
E05014098,Brixton Windrush,Deprived,Employment,688
E05014098,Brixton Windrush,Deprived,Health,1186
E05014098,Brixton Windrush,Deprived,Housing,810
E05014099,Clapham Common & Abbeville,Does not apply,Education,0
E05014099,Clapham Common & Abbeville,Does not apply,Employment,1
E05014099,Clapham Common & Abbeville,Does not apply,Health,0
E05014099,Clapham Common & Abbeville,Does not apply,Housing,0
E05014099,Clapham Common & Abbeville,Not Deprived,Education,3914
E05014099,Clapham Common & Abbeville,Not Deprived,Employment,3863
E05014099,Clapham Common & Abbeville,Not Deprived,Health,3396
E05014099,Clapham Common & Abbeville,Not Deprived,Housing,3683
E05014099,Clapham Common & Abbeville,Deprived,Education,306
E05014099,Clapham Common & Abbeville,Deprived,Employment,357
