time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,entitlement_type,provider_type,number_providers_2,number_providers_34
2022,Reporting year,National,E92000001,England,,,,,,15-hour entitlement,All providers,22074,47121
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,15-hour entitlement,All providers,1033,1866
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,15-hour entitlement,All providers,3016,6184
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,15-hour entitlement,All providers,2282,4584
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,15-hour entitlement,All providers,1917,4319
2022,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,15-hour entitlement,All providers,2261,4763
2022,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,15-hour entitlement,All providers,2565,5729
2022,Reporting year,Regional,E92000001,England,E12000007,London,,,,15-hour entitlement,All providers,3023,6161
2022,Reporting year,Regional,E92000001,England,E12000008,South East,,,,15-hour entitlement,All providers,3565,8153
2022,Reporting year,Regional,E92000001,England,E12000009,South West,,,,15-hour entitlement,All providers,2412,5362
2022,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,15-hour entitlement,All providers,1060,2206
2022,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,15-hour entitlement,All providers,1963,3955
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,15-hour entitlement,All providers,38,70
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,15-hour entitlement,All providers,221,415
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,15-hour entitlement,All providers,63,124
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,15-hour entitlement,All providers,44,56
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,15-hour entitlement,All providers,72,101
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,15-hour entitlement,All providers,97,196
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,15-hour entitlement,All providers,86,147
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,15-hour entitlement,All providers,126,304
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,15-hour entitlement,All providers,71,84
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,15-hour entitlement,All providers,54,100
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,15-hour entitlement,All providers,80,131
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,15-hour entitlement,All providers,81,138
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,15-hour entitlement,All providers,69,138
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,15-hour entitlement,All providers,63,101
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,15-hour entitlement,All providers,131,230
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,15-hour entitlement,All providers,80,165
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,15-hour entitlement,All providers,152,342
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,15-hour entitlement,All providers,138,322
