time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,entitlement_type,ofsted_inspection,number_of_2_year_olds,percentage_of_2_year_olds,number_of_3_4_year_olds,percentage_of_3_4_year_olds
2022,Reporting year,National,E92000001,England,,,,,,15-hour entitlement,Total,135407,z,1212226,z
2022,Reporting year,National,E92000001,England,,,,,,15-hour entitlement,Matched Ofsted judgement,116238,100,1110368,100
2022,Reporting year,National,E92000001,England,,,,,,15-hour entitlement,Outstanding,24184,21,251841,23
2022,Reporting year,National,E92000001,England,,,,,,15-hour entitlement,Good,87664,75,777997,70
2022,Reporting year,National,E92000001,England,,,,,,15-hour entitlement,Requires improvement,3091,3,61190,6
2022,Reporting year,National,E92000001,England,,,,,,15-hour entitlement,Inadequate,1299,1,19340,2
2022,Reporting year,National,E92000001,England,,,,,,15-hour entitlement,No match,19169,14,101858,8
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,15-hour entitlement,Total,8815,z,54799,z
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,15-hour entitlement,Matched Ofsted judgement,8193,100,52663,100
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,15-hour entitlement,Outstanding,1807,22,12625,24
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,15-hour entitlement,Good,6087,74,37067,70
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,15-hour entitlement,Requires improvement,235,3,2451,5
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,15-hour entitlement,Inadequate,64,1,520,1
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,15-hour entitlement,No match,622,7,2136,4
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,15-hour entitlement,Total,22655,z,163121,z
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,15-hour entitlement,Matched Ofsted judgement,18975,100,150211,100
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,15-hour entitlement,Outstanding,4843,26,35825,24
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,15-hour entitlement,Good,13532,71,104673,70
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,15-hour entitlement,Requires improvement,448,2,7951,5
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,15-hour entitlement,Inadequate,152,1,1762,1
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,15-hour entitlement,No match,3680,16,12910,8
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,15-hour entitlement,Total,16143,z,119937,z
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,15-hour entitlement,Matched Ofsted judgement,14214,100,113362,100
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,15-hour entitlement,Outstanding,2644,19,21650,19
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,15-hour entitlement,Good,10976,77,79199,70
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,15-hour entitlement,Requires improvement,381,3,9473,8
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,15-hour entitlement,Inadequate,213,1,3040,3
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,15-hour entitlement,No match,1929,12,6575,5
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,15-hour entitlement,Total,10633,z,100249,z
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,15-hour entitlement,Matched Ofsted judgement,8922,100,91547,100
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,15-hour entitlement,Outstanding,1679,19,17056,19
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,15-hour entitlement,Good,6958,78,66236,72
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,15-hour entitlement,Requires improvement,219,2,6269,7
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,15-hour entitlement,Inadequate,66,1,1986,2
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,15-hour entitlement,No match,1711,16,8702,9
2022,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,15-hour entitlement,Total,16748,z,132769,z
2022,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,15-hour entitlement,Matched Ofsted judgement,13985,100,121455,100
2022,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,15-hour entitlement,Outstanding,2857,20,25333,21
2022,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,15-hour entitlement,Good,10543,75,84583,70
2022,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,15-hour entitlement,Requires improvement,356,3,8512,7
2022,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,15-hour entitlement,Inadequate,229,2,3027,2
2022,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,15-hour entitlement,No match,2763,16,11314,9
2022,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,15-hour entitlement,Total,12963,z,138036,z
2022,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,15-hour entitlement,Matched Ofsted judgement,11096,100,126510,100
2022,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,15-hour entitlement,Outstanding,2280,21,28601,23
2022,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,15-hour entitlement,Good,8350,75,88496,70
2022,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,15-hour entitlement,Requires improvement,323,3,6884,5
2022,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,15-hour entitlement,Inadequate,143,1,2529,2
2022,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,15-hour entitlement,No match,1867,14,11526,8
2022,Reporting year,Regional,E92000001,England,E12000007,London,,,,15-hour entitlement,Total,20911,z,194550,z
2022,Reporting year,Regional,E92000001,England,E12000007,London,,,,15-hour entitlement,Matched Ofsted judgement,17647,100,177564,100
2022,Reporting year,Regional,E92000001,England,E12000007,London,,,,15-hour entitlement,Outstanding,3559,20,51557,29
2022,Reporting year,Regional,E92000001,England,E12000007,London,,,,15-hour entitlement,Good,13393,76,117313,66
2022,Reporting year,Regional,E92000001,England,E12000007,London,,,,15-hour entitlement,Requires improvement,524,3,6608,4
2022,Reporting year,Regional,E92000001,England,E12000007,London,,,,15-hour entitlement,Inadequate,171,1,2086,1
2022,Reporting year,Regional,E92000001,England,E12000007,London,,,,15-hour entitlement,No match,3264,16,16986,9
2022,Reporting year,Regional,E92000001,England,E12000008,South East,,,,15-hour entitlement,Total,15757,z,197750,z
2022,Reporting year,Regional,E92000001,England,E12000008,South East,,,,15-hour entitlement,Matched Ofsted judgement,13812,100,177225,100
2022,Reporting year,Regional,E92000001,England,E12000008,South East,,,,15-hour entitlement,Outstanding,2621,19,39513,22
2022,Reporting year,Regional,E92000001,England,E12000008,South East,,,,15-hour entitlement,Good,10799,78,128463,72
2022,Reporting year,Regional,E92000001,England,E12000008,South East,,,,15-hour entitlement,Requires improvement,282,2,6832,4
2022,Reporting year,Regional,E92000001,England,E12000008,South East,,,,15-hour entitlement,Inadequate,110,1,2417,1
2022,Reporting year,Regional,E92000001,England,E12000008,South East,,,,15-hour entitlement,No match,1945,12,20525,10
2022,Reporting year,Regional,E92000001,England,E12000009,South West,,,,15-hour entitlement,Total,10782,z,111015,z
2022,Reporting year,Regional,E92000001,England,E12000009,South West,,,,15-hour entitlement,Matched Ofsted judgement,9394,100,99831,100
2022,Reporting year,Regional,E92000001,England,E12000009,South West,,,,15-hour entitlement,Outstanding,1894,20,19681,20
2022,Reporting year,Regional,E92000001,England,E12000009,South West,,,,15-hour entitlement,Good,7026,75,71967,72
2022,Reporting year,Regional,E92000001,England,E12000009,South West,,,,15-hour entitlement,Requires improvement,323,3,6210,6
2022,Reporting year,Regional,E92000001,England,E12000009,South West,,,,15-hour entitlement,Inadequate,151,2,1973,2
2022,Reporting year,Regional,E92000001,England,E12000009,South West,,,,15-hour entitlement,No match,1388,13,11184,10
2022,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,15-hour entitlement,Total,8386,z,68038,z
2022,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,15-hour entitlement,Matched Ofsted judgement,7000,100,61705,100
2022,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,15-hour entitlement,Outstanding,1772,25,21556,35
2022,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,15-hour entitlement,Good,4928,70,36853,60
2022,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,15-hour entitlement,Requires improvement,229,3,2495,4
2022,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,15-hour entitlement,Inadequate,71,1,801,1
2022,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,15-hour entitlement,No match,1386,17,6333,9
2022,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,15-hour entitlement,Total,12525,z,126512,z
2022,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,15-hour entitlement,Matched Ofsted judgement,10647,100,115859,100
2022,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,15-hour entitlement,Outstanding,1787,17,30001,26
2022,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,15-hour entitlement,Good,8465,80,80460,69
2022,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,15-hour entitlement,Requires improvement,295,3,4113,4
2022,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,15-hour entitlement,Inadequate,100,1,1285,1
2022,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,15-hour entitlement,No match,1878,15,10653,8
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,15-hour entitlement,Total,341,z,2242,z
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,15-hour entitlement,Matched Ofsted judgement,330,100,2151,100
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,15-hour entitlement,Outstanding,62,19,444,21
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,15-hour entitlement,Good,258,78,1460,68
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,15-hour entitlement,Requires improvement,10,3,247,11
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,15-hour entitlement,Inadequate,0,0,0,0
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,15-hour entitlement,No match,11,3,91,4
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,15-hour entitlement,Total,1747,z,9865,z
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,15-hour entitlement,Matched Ofsted judgement,1636,100,9356,100
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,15-hour entitlement,Outstanding,379,23,2354,25
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,15-hour entitlement,Good,1201,73,6352,68
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,15-hour entitlement,Requires improvement,51,3,582,6
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,15-hour entitlement,Inadequate,5,0,68,1
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,15-hour entitlement,No match,111,6,509,5
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,15-hour entitlement,Total,640,z,3981,z
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,15-hour entitlement,Matched Ofsted judgement,597,100,3857,100
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,15-hour entitlement,Outstanding,79,13,1237,32
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,15-hour entitlement,Good,505,85,2308,60
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,15-hour entitlement,Requires improvement,0,0,157,4
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,15-hour entitlement,Inadequate,13,2,155,4
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,15-hour entitlement,No match,43,7,124,3
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,15-hour entitlement,Total,439,z,2027,z
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,15-hour entitlement,Matched Ofsted judgement,415,100,2010,100
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,15-hour entitlement,Outstanding,41,10,256,13
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,15-hour entitlement,Good,334,80,1592,79
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,15-hour entitlement,Requires improvement,19,5,131,7
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,15-hour entitlement,Inadequate,21,5,31,2
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,15-hour entitlement,No match,24,5,17,1
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,15-hour entitlement,Total,778,z,3797,z
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,15-hour entitlement,Matched Ofsted judgement,743,100,3758,100
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,15-hour entitlement,Outstanding,96,13,298,8
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,15-hour entitlement,Good,610,82,3147,84
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,15-hour entitlement,Requires improvement,37,5,312,8
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,15-hour entitlement,Inadequate,0,0,1,0
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,15-hour entitlement,No match,35,4,39,1
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,15-hour entitlement,Total,977,z,6219,z
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,15-hour entitlement,Matched Ofsted judgement,949,100,5954,100
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,15-hour entitlement,Outstanding,340,36,1793,30
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,15-hour entitlement,Good,592,62,3994,67
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,15-hour entitlement,Requires improvement,17,2,167,3
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,15-hour entitlement,Inadequate,0,0,0,0
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,15-hour entitlement,No match,28,3,265,4
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,15-hour entitlement,Total,576,z,4479,z
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,15-hour entitlement,Matched Ofsted judgement,558,100,4453,100
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,15-hour entitlement,Outstanding,117,21,1520,34
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,15-hour entitlement,Good,426,76,2863,64
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,15-hour entitlement,Requires improvement,15,3,70,2
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,15-hour entitlement,Inadequate,0,0,0,0
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,15-hour entitlement,No match,18,3,26,1
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,15-hour entitlement,Total,799,z,6318,z
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,15-hour entitlement,Matched Ofsted judgement,627,100,5694,100
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,15-hour entitlement,Outstanding,74,12,937,16
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,15-hour entitlement,Good,496,79,4268,75
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,15-hour entitlement,Requires improvement,53,8,377,7
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,15-hour entitlement,Inadequate,4,1,112,2
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,15-hour entitlement,No match,172,22,624,10
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,15-hour entitlement,Total,466,z,2809,z
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,15-hour entitlement,Matched Ofsted judgement,461,100,2792,100
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,15-hour entitlement,Outstanding,73,16,558,20
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,15-hour entitlement,Good,363,79,2117,76
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,15-hour entitlement,Requires improvement,25,5,117,4
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,15-hour entitlement,Inadequate,0,0,0,0
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,15-hour entitlement,No match,5,1,17,1
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,15-hour entitlement,Total,517,z,3110,z
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,15-hour entitlement,Matched Ofsted judgement,467,100,2961,100
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,15-hour entitlement,Outstanding,236,51,1132,38
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,15-hour entitlement,Good,222,48,1666,56
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,15-hour entitlement,Requires improvement,0,0,68,2
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,15-hour entitlement,Inadequate,9,2,95,3
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,15-hour entitlement,No match,50,10,149,5
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,15-hour entitlement,Total,651,z,4266,z
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,15-hour entitlement,Matched Ofsted judgement,581,100,4098,100
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,15-hour entitlement,Outstanding,85,15,824,20
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,15-hour entitlement,Good,485,83,3194,78
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,15-hour entitlement,Requires improvement,8,1,78,2
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,15-hour entitlement,Inadequate,3,1,2,0
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,15-hour entitlement,No match,70,11,168,4
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,15-hour entitlement,Total,884,z,5686,z
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,15-hour entitlement,Matched Ofsted judgement,829,100,5579,100
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,15-hour entitlement,Outstanding,225,27,1272,23
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,15-hour entitlement,Good,595,72,4106,74
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,15-hour entitlement,Requires improvement,0,0,145,3
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,15-hour entitlement,Inadequate,9,1,56,1
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,15-hour entitlement,No match,55,6,107,2
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,15-hour entitlement,Total,557,z,3792,z
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,15-hour entitlement,Matched Ofsted judgement,446,100,3496,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,15-hour entitlement,Outstanding,113,25,738,21
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,15-hour entitlement,Good,327,73,2569,73
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,15-hour entitlement,Requires improvement,6,1,169,5
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,15-hour entitlement,Inadequate,0,0,20,1
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,15-hour entitlement,No match,111,20,296,8
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,15-hour entitlement,Total,550,z,2884,z
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,15-hour entitlement,Matched Ofsted judgement,395,100,2385,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,15-hour entitlement,Outstanding,9,2,152,6
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,15-hour entitlement,Good,383,97,2117,89
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,15-hour entitlement,Requires improvement,1,0,102,4
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,15-hour entitlement,Inadequate,2,1,14,1
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,15-hour entitlement,No match,155,28,499,17
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,15-hour entitlement,Total,1041,z,7192,z
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,15-hour entitlement,Matched Ofsted judgement,844,100,6561,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,15-hour entitlement,Outstanding,295,35,1857,28
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,15-hour entitlement,Good,515,61,4307,66
