time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,gender,characteristic,characteristic_type,number_of_pupils,elg_number,elg_percent,gld_number,gld_percent,point_score,average_point_score
201819,Academic year,National,E92000001,England, , , , , ,Total,Ethnicity,Total,638946,451531,71,458815,72,22088472,34.6
201819,Academic year,National,E92000001,England, , , , , ,Total,Ethnicity,White,459403,329368,72,333885,73,16019945,34.9
201819,Academic year,National,E92000001,England, , , , , ,Total,Ethnicity,Asian,69185,48045,69,49353,71,2332709,33.7
201819,Academic year,National,E92000001,England, , , , , ,Total,Ethnicity,Black,31136,21096,68,21566,69,1040154,33.4
201819,Academic year,National,E92000001,England, , , , , ,Total,Ethnicity,Chinese,3002,2294,76,2345,78,106674,35.5
201819,Academic year,National,E92000001,England, , , , , ,Total,Ethnicity,Mixed,41685,30071,72,30562,73,1456169,34.9
201819,Academic year,National,E92000001,England, , , , , ,Girls,Ethnicity,Total,311521,241823,78,244274,78,11137066,35.8
201819,Academic year,National,E92000001,England, , , , , ,Girls,Ethnicity,White,224063,176032,79,177479,79,8067809,36
201819,Academic year,National,E92000001,England, , , , , ,Girls,Ethnicity,Asian,33648,25845,77,26309,78,1178853,35
201819,Academic year,National,E92000001,England, , , , , ,Girls,Ethnicity,Black,15200,11562,76,11727,77,530847,34.9
201819,Academic year,National,E92000001,England, , , , , ,Girls,Ethnicity,Chinese,1413,1148,81,1165,82,51368,36.4
201819,Academic year,National,E92000001,England, , , , , ,Girls,Ethnicity,Mixed,20335,16084,79,16244,80,735920,36.2
201819,Academic year,National,E92000001,England, , , , , ,Boys,Ethnicity,Total,327425,209708,64,214541,66,10951406,33.4
201819,Academic year,National,E92000001,England, , , , , ,Boys,Ethnicity,White,235340,153336,65,156406,66,7952136,33.8
201819,Academic year,National,E92000001,England, , , , , ,Boys,Ethnicity,Asian,35537,22200,62,23044,65,1153856,32.5
201819,Academic year,National,E92000001,England, , , , , ,Boys,Ethnicity,Black,15936,9534,60,9839,62,509307,32
201819,Academic year,National,E92000001,England, , , , , ,Boys,Ethnicity,Chinese,1589,1146,72,1180,74,55306,34.8
201819,Academic year,National,E92000001,England, , , , , ,Boys,Ethnicity,Mixed,21350,13987,66,14318,67,720249,33.7
201819,Academic year,Regional,E92000001,England,E12000001,North East, , , ,Total,Ethnicity,Total,29024,20582,71,20843,72,1016018,35
201819,Academic year,Regional,E92000001,England,E12000001,North East, , , ,Total,Ethnicity,White,25691,18422,72,18642,73,904521,35.2
201819,Academic year,Regional,E92000001,England,E12000001,North East, , , ,Total,Ethnicity,Asian,1134,740,65,752,66,37402,33
201819,Academic year,Regional,E92000001,England,E12000001,North East, , , ,Total,Ethnicity,Black,345,223,65,229,66,11638,33.7
201819,Academic year,Regional,E92000001,England,E12000001,North East, , , ,Total,Ethnicity,Chinese,128,96,75,99,77,4706,36.8
201819,Academic year,Regional,E92000001,England,E12000001,North East, , , ,Total,Ethnicity,Mixed,869,603,69,611,70,30020,34.5
