time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,lad_code,lad_name,fsm,area_of_learning,number_of_pupils,at_least_expected_number,at_least_expected_percent
201819,Academic year,National,E92000001,England, , , , ,Total,Communication and Language,638946,525035,82
201819,Academic year,National,E92000001,England, , , , ,FSM,Communication and Language,89742,64016,71
201819,Academic year,National,E92000001,England, , , , ,All other pupils,Communication and Language,549204,461019,84
201819,Academic year,Regional,E92000001,England,E12000001,North East, , ,Total,Communication and Language,29024,23870,82
201819,Academic year,Regional,E92000001,England,E12000001,North East, , ,FSM,Communication and Language,6327,4546,72
201819,Academic year,Regional,E92000001,England,E12000001,North East, , ,All other pupils,Communication and Language,22697,19324,85
201819,Academic year,Regional,E92000001,England,E12000002,North West, , ,Total,Communication and Language,86280,68375,79
201819,Academic year,Regional,E92000001,England,E12000002,North West, , ,FSM,Communication and Language,13504,9205,68
201819,Academic year,Regional,E92000001,England,E12000002,North West, , ,All other pupils,Communication and Language,72776,59170,81
201819,Academic year,Regional,E92000001,England,E12000003,Yorkshire and the Humber, , ,Total,Communication and Language,63591,52233,82
201819,Academic year,Regional,E92000001,England,E12000003,Yorkshire and the Humber, , ,FSM,Communication and Language,10346,7405,72
201819,Academic year,Regional,E92000001,England,E12000003,Yorkshire and the Humber, , ,All other pupils,Communication and Language,53245,44828,84
201819,Academic year,Regional,E92000001,England,E12000004,East Midlands, , ,Total,Communication and Language,54531,44224,81
201819,Academic year,Regional,E92000001,England,E12000004,East Midlands, , ,FSM,Communication and Language,7092,4929,70
201819,Academic year,Regional,E92000001,England,E12000004,East Midlands, , ,All other pupils,Communication and Language,47439,39295,83
201819,Academic year,Regional,E92000001,England,E12000005,West Midlands, , ,Total,Communication and Language,71244,56876,80
201819,Academic year,Regional,E92000001,England,E12000005,West Midlands, , ,FSM,Communication and Language,12515,8760,70
201819,Academic year,Regional,E92000001,England,E12000005,West Midlands, , ,All other pupils,Communication and Language,58729,48116,82
201819,Academic year,Regional,E92000001,England,E12000006,East of England, , ,Total,Communication and Language,71812,59377,83
201819,Academic year,Regional,E92000001,England,E12000006,East of England, , ,FSM,Communication and Language,8163,5742,70
201819,Academic year,Regional,E92000001,England,E12000006,East of England, , ,All other pupils,Communication and Language,63649,53635,84
201819,Academic year,Regional,E92000001,England,E12000008,South East, , ,Total,Communication and Language,102427,87212,85
201819,Academic year,Regional,E92000001,England,E12000008,South East, , ,FSM,Communication and Language,10936,7954,73
201819,Academic year,Regional,E92000001,England,E12000008,South East, , ,All other pupils,Communication and Language,91491,79258,87
201819,Academic year,Regional,E92000001,England,E12000009,South West, , ,Total,Communication and Language,59055,49424,84
201819,Academic year,Regional,E92000001,England,E12000009,South West, , ,FSM,Communication and Language,6947,4830,70
201819,Academic year,Regional,E92000001,England,E12000009,South West, , ,All other pupils,Communication and Language,52108,44594,86
201819,Academic year,Regional,E92000001,England,E13000001,Inner London, , ,Total,Communication and Language,34617,28287,82
201819,Academic year,Regional,E92000001,England,E13000001,Inner London, , ,FSM,Communication and Language,6517,4993,77
201819,Academic year,Regional,E92000001,England,E13000001,Inner London, , ,All other pupils,Communication and Language,28100,23294,83
201819,Academic year,Regional,E92000001,England,E13000002,Outer London, , ,Total,Communication and Language,66365,55157,83
201819,Academic year,Regional,E92000001,England,E13000002,Outer London, , ,FSM,Communication and Language,7395,5652,76
201819,Academic year,Regional,E92000001,England,E13000002,Outer London, , ,All other pupils,Communication and Language,58970,49505,84
201819,Academic year,Local authority,E92000001,England,E12000001,North East,E06000005,Darlington,Total,Communication and Language,1198,936,78
201819,Academic year,Local authority,E92000001,England,E12000001,North East,E06000005,Darlington,FSM,Communication and Language,238,159,67
201819,Academic year,Local authority,E92000001,England,E12000001,North East,E06000005,Darlington,All other pupils,Communication and Language,960,777,81
201819,Academic year,Local authority,E92000001,England,E12000001,North East,E06000047,Durham,Total,Communication and Language,5420,4422,82
201819,Academic year,Local authority,E92000001,England,E12000001,North East,E06000047,Durham,FSM,Communication and Language,1282,877,68
201819,Academic year,Local authority,E92000001,England,E12000001,North East,E06000047,Durham,All other pupils,Communication and Language,4138,3545,86
201819,Academic year,Local authority,E92000001,England,E12000001,North East,E08000037,Gateshead,Total,Communication and Language,2109,1895,90
