time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,lad_code,lad_name,all_pupils,elg_number,elg_percent,gld_number,gld_percent,point_score,average_point_score
201819,Academic year,Regional,E92000001,England,E12000001,North East, , ,28983,20564,71,20826,72,1014648,35
201819,Academic year,Regional,E92000001,England,E12000002,North West, , ,86017,57982,67,59275,69,2920082,33.9
201819,Academic year,Regional,E92000001,England,E12000003,Yorkshire and the Humber, , ,63540,43700,69,44496,70,2186444,34.4
201819,Academic year,Regional,E92000001,England,E12000004,East Midlands, , ,54464,37613,69,38311,70,1863475,34.2
201819,Academic year,Regional,E92000001,England,E12000005,West Midlands, , ,71177,48931,69,49929,70,2406998,33.8
201819,Academic year,Regional,E92000001,England,E12000006,East of England, , ,71748,50960,71,51868,72,2473733,34.5
201819,Academic year,Regional,E92000001,England,E12000007,London, , ,100562,73434,73,74479,74,3504471,34.8
201819,Academic year,Regional,E92000001,England,E12000008,South East, , ,102309,75533,74,76339,75,3627610,35.5
201819,Academic year,Regional,E92000001,England,E12000009,South West, , ,59055,42107,71,42574,72,2053965,34.8
201819,Academic year,Local authority district,E92000001,England,E12000001,North East,E06000001,Hartlepool UA,1095,783,72,792,72,37970,34.7
201819,Academic year,Local authority district,E92000001,England,E12000001,North East,E06000002,Middlesbrough UA,1965,1218,62,1254,64,63408,32.3
201819,Academic year,Local authority district,E92000001,England,E12000001,North East,E06000003,Redcar and Cleveland UA,1585,1099,69,1119,71,52273,33
201819,Academic year,Local authority district,E92000001,England,E12000001,North East,E06000004,Stockton-on-Tees UA,2393,1740,73,1760,74,86872,36.3
201819,Academic year,Local authority district,E92000001,England,E12000001,North East,E06000005,Darlington UA,1199,847,71,863,72,41051,34.2
201819,Academic year,Local authority district,E92000001,England,E12000001,North East,E06000047,County Durham UA,5459,3876,71,3925,72,192766,35.3
201819,Academic year,Local authority district,E92000001,England,E12000001,North East,E06000057,Northumberland UA,3034,2246,74,2261,75,108167,35.7
201819,Academic year,Local authority district,E92000001,England,E12000001,North East,E08000021,Newcastle upon Tyne,3187,2226,70,2243,70,110770,34.8
201819,Academic year,Local authority district,E92000001,England,E12000001,North East,E08000022,North Tyneside,2416,1725,71,1751,72,84777,35.1
201819,Academic year,Local authority district,E92000001,England,E12000001,North East,E08000023,South Tyneside,1667,1207,72,1224,73,57399,34.4
201819,Academic year,Local authority district,E92000001,England,E12000001,North East,E08000024,Sunderland,2914,2102,72,2121,73,102667,35.2
201819,Academic year,Local authority district,E92000001,England,E12000001,North East,E08000037,Gateshead,2069,1495,72,1513,73,76528,37
201819,Academic year,Local authority district,E92000001,England,E12000002,North West,E06000006,Halton UA,1532,1004,66,1018,66,50630,33
201819,Academic year,Local authority district,E92000001,England,E12000002,North West,E06000007,Warrington UA,2377,1729,73,1753,74,83781,35.2
201819,Academic year,Local authority district,E92000001,England,E12000002,North West,E06000008,Blackburn with Darwen UA,2099,1399,67,1443,69,70595,33.6
201819,Academic year,Local authority district,E92000001,England,E12000002,North West,E06000009,Blackpool UA,1706,1132,66,1151,67,55888,32.8
201819,Academic year,Local authority district,E92000001,England,E12000002,North West,E06000049,Cheshire East UA,4050,2902,72,2958,73,141409,34.9
201819,Academic year,Local authority district,E92000001,England,E12000002,North West,E06000050,Cheshire West and Chester UA,3731,2625,70,2673,72,134190,36
201819,Academic year,Local authority district,E92000001,England,E12000002,North West,E07000026,Allerdale,954,638,67,649,68,31888,33.4
201819,Academic year,Local authority district,E92000001,England,E12000002,North West,E07000027,Barrow-in-Furness,699,488,70,493,71,23783,34
201819,Academic year,Local authority district,E92000001,England,E12000002,North West,E07000028,Carlisle,1240,864,70,873,70,43085,34.7
201819,Academic year,Local authority district,E92000001,England,E12000002,North West,E07000029,Copeland,676,459,68,462,68,22663,33.5
201819,Academic year,Local authority district,E92000001,England,E12000002,North West,E07000030,Eden,433,306,71,311,72,15103,34.9
201819,Academic year,Local authority district,E92000001,England,E12000002,North West,E07000031,South Lakeland,848,625,74,634,75,30437,35.9
201819,Academic year,Local authority district,E92000001,England,E12000002,North West,E07000117,Burnley,1177,702,60,748,64,38352,32.6
