time_period,time_identifier,geographic_level,country_code,country_name,characteristic,characteristic_type,gender,number_of_pupils,elg_number,elg_percent,gld_number,gld_percent,point_score,average_point_score,gld_gap
201819,Academic year,National,E92000001,England, , ,Total,638946,451531,71,458815,72,22088472,34.6,.
201819,Academic year,National,E92000001,England, , ,Girls,311521,241823,78,244274,78,11137066,35.8,.
201819,Academic year,National,E92000001,England, , ,Boys,327425,209708,64,214541,66,10951406,33.4,.
201819,Academic year,National,E92000001,England,Ethnicity: major group,White,Total,459403,329368,72,333885,73,16019945,34.9,0.9
201819,Academic year,National,E92000001,England,Ethnicity: major group,White,Girls,224063,176032,79,177479,79,8067809,36,0.8
201819,Academic year,National,E92000001,England,Ethnicity: major group,White,Boys,235340,153336,65,156406,66,7952136,33.8,0.9
201819,Academic year,National,E92000001,England,Ethnicity: major group,Mixed,Total,41685,30071,72,30562,73,1456169,34.9,1.5
201819,Academic year,National,E92000001,England,Ethnicity: major group,Mixed,Girls,20335,16084,79,16244,80,735920,36.2,1.5
201819,Academic year,National,E92000001,England,Ethnicity: major group,Mixed,Boys,21350,13987,66,14318,67,720249,33.7,1.5
201819,Academic year,National,E92000001,England,Ethnicity: major group,Asian,Total,69185,48045,69,49353,71,2332709,33.7,-0.5
201819,Academic year,National,E92000001,England,Ethnicity: major group,Asian,Girls,33648,25845,77,26309,78,1178853,35,-0.2
201819,Academic year,National,E92000001,England,Ethnicity: major group,Asian,Boys,35537,22200,62,23044,65,1153856,32.5,-0.7
201819,Academic year,National,E92000001,England,Ethnicity: major group,Black,Total,31136,21096,68,21566,69,1040154,33.4,-2.5
201819,Academic year,National,E92000001,England,Ethnicity: major group,Black,Girls,15200,11562,76,11727,77,530847,34.9,-1.3
201819,Academic year,National,E92000001,England,Ethnicity: major group,Black,Boys,15936,9534,60,9839,62,509307,32,-3.8
201819,Academic year,National,E92000001,England,Ethnicity: major group,Chinese,Total,3002,2294,76,2345,78,106674,35.5,6.3
201819,Academic year,National,E92000001,England,Ethnicity: major group,Chinese,Girls,1413,1148,81,1165,82,51368,36.4,4
201819,Academic year,National,E92000001,England,Ethnicity: major group,Chinese,Boys,1589,1146,72,1180,74,55306,34.8,8.7
201819,Academic year,National,E92000001,England,Ethnicity: major group,Other,Total,12048,7588,63,7793,65,390999,32.5,-7.1
201819,Academic year,National,E92000001,England,Ethnicity: major group,Other,Girls,5889,4118,70,4210,71,198357,33.7,-6.9
201819,Academic year,National,E92000001,England,Ethnicity: major group,Other,Boys,6159,3470,56,3583,58,192642,31.3,-7.3
201819,Academic year,National,E92000001,England,Ethnicity: major group,unclassified,Total,22487,13069,58,13311,59,741822,33,-12.6
201819,Academic year,National,E92000001,England,Ethnicity: major group,unclassified,Girls,10973,7034,64,7140,65,373912,34.1,-13.3
201819,Academic year,National,E92000001,England,Ethnicity: major group,unclassified,Boys,11514,6035,52,6171,54,367910,32,-11.9
201819,Academic year,National,E92000001,England,Ethnicity: minor group,White British,Total,409675,297446,73,301219,74,14377976,35.1,1.7
201819,Academic year,National,E92000001,England,Ethnicity: minor group,White British,Girls,199805,158749,79,159914,80,7236531,36.2,1.6
201819,Academic year,National,E92000001,England,Ethnicity: minor group,White British,Boys,209870,138697,66,141305,67,7141445,34,1.8
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Irish,Total,1551,1152,74,1166,75,56092,36.2,3.4
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Irish,Girls,777,633,81,638,82,29050,37.4,3.7
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Irish,Boys,774,519,67,528,68,27042,34.9,2.7
