time_identifier,time_period,geographic_level,country_code,country_name,characteristic,characteristic_type,ethnicity,gender,number_of_pupils,elg_number,elg_percent,gld_number,gld_percent,point_score,average_point_score
Academic year,201819,National,E92000001,England, , ,Total,Total,638946,451531,71,458815,72,22088472,34.6
Academic year,201819,National,E92000001,England, , ,Total,Girls,311521,241823,78,244274,78,11137066,35.8
Academic year,201819,National,E92000001,England, , ,Total,Boys,327425,209708,64,214541,66,10951406,33.4
Academic year,201819,National,E92000001,England, , ,White,Total,459403,329368,72,333885,73,16019945,34.9
Academic year,201819,National,E92000001,England, , ,White,Girls,224063,176032,79,177479,79,8067809,36
Academic year,201819,National,E92000001,England, , ,White,Boys,235340,153336,65,156406,66,7952136,33.8
Academic year,201819,National,E92000001,England, , ,Mixed,Total,41685,30071,72,30562,73,1456169,34.9
Academic year,201819,National,E92000001,England, , ,Mixed,Girls,20335,16084,79,16244,80,735920,36.2
Academic year,201819,National,E92000001,England, , ,Mixed,Boys,21350,13987,66,14318,67,720249,33.7
Academic year,201819,National,E92000001,England, , ,Asian,Total,69185,48045,69,49353,71,2332709,33.7
Academic year,201819,National,E92000001,England, , ,Asian,Girls,33648,25845,77,26309,78,1178853,35
Academic year,201819,National,E92000001,England, , ,Asian,Boys,35537,22200,62,23044,65,1153856,32.5
Academic year,201819,National,E92000001,England, , ,Black,Total,31136,21096,68,21566,69,1040154,33.4
Academic year,201819,National,E92000001,England, , ,Black,Girls,15200,11562,76,11727,77,530847,34.9
Academic year,201819,National,E92000001,England, , ,Black,Boys,15936,9534,60,9839,62,509307,32
Academic year,201819,National,E92000001,England, , ,Chinese,Total,3002,2294,76,2345,78,106674,35.5
Academic year,201819,National,E92000001,England, , ,Chinese,Girls,1413,1148,81,1165,82,51368,36.4
Academic year,201819,National,E92000001,England, , ,Chinese,Boys,1589,1146,72,1180,74,55306,34.8
Academic year,201819,National,E92000001,England, , ,Other,Total,12048,7588,63,7793,65,390999,32.5
Academic year,201819,National,E92000001,England, , ,Other,Girls,5889,4118,70,4210,71,198357,33.7
Academic year,201819,National,E92000001,England, , ,Other,Boys,6159,3470,56,3583,58,192642,31.3
Academic year,201819,National,E92000001,England,SEN,No identified SEN,Total,Total,564913,430878,76,437383,77,20126222,35.6
Academic year,201819,National,E92000001,England,SEN,No identified SEN,Total,Girls,287233,233226,81,235463,82,10456326,36.4
Academic year,201819,National,E92000001,England,SEN,No identified SEN,Total,Boys,277680,197652,71,201920,73,9669896,34.8
Academic year,201819,National,E92000001,England,SEN,No identified SEN,White,Total,416263,318746,77,322857,78,14903212,35.8
Academic year,201819,National,E92000001,England,SEN,No identified SEN,White,Girls,211170,172135,82,173489,82,7722146,36.6
Academic year,201819,National,E92000001,England,SEN,No identified SEN,White,Boys,205093,146611,71,149368,73,7181066,35
Academic year,201819,National,E92000001,England,SEN,No identified SEN,Mixed,Total,37735,29162,77,29611,78,1356390,35.9
Academic year,201819,National,E92000001,England,SEN,No identified SEN,Mixed,Girls,19204,15743,82,15897,83,705776,36.8
Academic year,201819,National,E92000001,England,SEN,No identified SEN,Mixed,Boys,18531,13419,72,13714,74,650614,35.1
Academic year,201819,National,E92000001,England,SEN,No identified SEN,Asian,Total,61252,46326,76,47504,78,2141844,35
Academic year,201819,National,E92000001,England,SEN,No identified SEN,Asian,Girls,31287,25206,81,25636,82,1119525,35.8
Academic year,201819,National,E92000001,England,SEN,No identified SEN,Asian,Boys,29965,21120,70,21868,73,1022319,34.1
Academic year,201819,National,E92000001,England,SEN,No identified SEN,Black,Total,26812,20173,75,20600,77,936226,34.9
Academic year,201819,National,E92000001,England,SEN,No identified SEN,Black,Girls,13976,11239,80,11390,81,499857,35.8
Academic year,201819,National,E92000001,England,SEN,No identified SEN,Black,Boys,12836,8934,70,9210,72,436369,34
