time_period,time_identifier,geographic_level,country_code,country_name,characteristic,characteristic_type,gender,elg_category,number_of_pupils,emerging_number,expected_number,exceeded_number,emerging_percent,expected_percent,exceeded_percent
201819,Academic year,National,E92000001,England, , ,Total,Listening and attention,638946,90199,401080,147667,14,63,23
201819,Academic year,National,E92000001,England, , ,Girls,Listening and attention,311521,29260,194912,87349,9,63,28
201819,Academic year,National,E92000001,England, , ,Boys,Listening and attention,327425,60939,206168,60318,19,63,18
201819,Academic year,National,E92000001,England,Ethnicity: major group,White,Total,Listening and attention,459403,59554,289467,110382,13,63,24
201819,Academic year,National,E92000001,England,Ethnicity: major group,White,Girls,Listening and attention,224063,19194,139633,65236,9,62,29
201819,Academic year,National,E92000001,England,Ethnicity: major group,White,Boys,Listening and attention,235340,40360,149834,45146,17,64,19
201819,Academic year,National,E92000001,England,Ethnicity: major group,Mixed,Total,Listening and attention,41685,5583,26050,10052,13,62,24
201819,Academic year,National,E92000001,England,Ethnicity: major group,Mixed,Girls,Listening and attention,20335,1723,12570,6042,8,62,30
201819,Academic year,National,E92000001,England,Ethnicity: major group,Mixed,Boys,Listening and attention,21350,3860,13480,4010,18,63,19
201819,Academic year,National,E92000001,England,Ethnicity: major group,Asian,Total,Listening and attention,69185,11490,43397,14298,17,63,21
201819,Academic year,National,E92000001,England,Ethnicity: major group,Asian,Girls,Listening and attention,33648,3696,21567,8385,11,64,25
201819,Academic year,National,E92000001,England,Ethnicity: major group,Asian,Boys,Listening and attention,35537,7794,21830,5913,22,61,17
201819,Academic year,National,E92000001,England,Ethnicity: major group,Black,Total,Listening and attention,31136,5692,19585,5859,18,63,19
201819,Academic year,National,E92000001,England,Ethnicity: major group,Black,Girls,Listening and attention,15200,1741,9926,3533,11,65,23
201819,Academic year,National,E92000001,England,Ethnicity: major group,Black,Boys,Listening and attention,15936,3951,9659,2326,25,61,15
201819,Academic year,National,E92000001,England,Ethnicity: major group,Chinese,Total,Listening and attention,3002,400,1791,811,13,60,27
201819,Academic year,National,E92000001,England,Ethnicity: major group,Chinese,Girls,Listening and attention,1413,137,837,439,10,59,31
201819,Academic year,National,E92000001,England,Ethnicity: major group,Chinese,Boys,Listening and attention,1589,263,954,372,17,60,23
201819,Academic year,National,E92000001,England,Ethnicity: major group,Other,Total,Listening and attention,12048,2532,7604,1912,21,63,16
201819,Academic year,National,E92000001,England,Ethnicity: major group,Other,Girls,Listening and attention,5889,874,3895,1120,15,66,19
201819,Academic year,National,E92000001,England,Ethnicity: major group,Other,Boys,Listening and attention,6159,1658,3709,792,27,60,13
201819,Academic year,National,E92000001,England,Ethnicity: major group,unclassified,Total,Listening and attention,22487,4948,13186,4353,22,59,19
201819,Academic year,National,E92000001,England,Ethnicity: major group,unclassified,Girls,Listening and attention,10973,1895,6484,2594,17,59,24
201819,Academic year,National,E92000001,England,Ethnicity: major group,unclassified,Boys,Listening and attention,11514,3053,6702,1759,27,58,15
