time_identifier,time_period,geographic_level,country_code,country_name,sen,fsm,gender,number_of_pupils,elg_number,elg_percent,gld_number,gld_percent,average_point_score
Academic year,201819,National,E92000001,England,Total,Total,Total,638946,451531,71,458815,72,34.6
Academic year,201819,National,E92000001,England,Total,Total,Girls,311521,241823,78,244274,78,35.8
Academic year,201819,National,E92000001,England,Total,Total,Boys,327425,209708,64,214541,66,33.4
Academic year,201819,National,E92000001,England,Total,FSM,Total,89742,49442,55,50732,57,31.5
Academic year,201819,National,E92000001,England,Total,FSM,Girls,43796,27767,63,28257,65,32.8
Academic year,201819,National,E92000001,England,Total,FSM,Boys,45946,21675,47,22475,49,30.2
Academic year,201819,National,E92000001,England,Total,All other pupils,Total,549204,402089,73,408083,74,35.1
Academic year,201819,National,E92000001,England,Total,All other pupils,Girls,267725,214056,80,216017,81,36.2
Academic year,201819,National,E92000001,England,Total,All other pupils,Boys,281479,188033,67,192066,68,34
Academic year,201819,National,E92000001,England,No identified SEN,Total,Total,564913,430878,76,437383,77,35.6
Academic year,201819,National,E92000001,England,No identified SEN,Total,Girls,287233,233226,81,235463,82,36.4
Academic year,201819,National,E92000001,England,No identified SEN,Total,Boys,277680,197652,71,201920,73,34.8
Academic year,201819,National,E92000001,England,No identified SEN,FSM,Total,74598,46608,62,47758,64,32.9
Academic year,201819,National,E92000001,England,No identified SEN,FSM,Girls,38959,26639,68,27090,70,33.7
Academic year,201819,National,E92000001,England,No identified SEN,FSM,Boys,35639,19969,56,20668,58,32
Academic year,201819,National,E92000001,England,No identified SEN,All other pupils,Total,490315,384270,78,389625,79,36
Academic year,201819,National,E92000001,England,No identified SEN,All other pupils,Girls,248274,206587,83,208373,84,36.8
Academic year,201819,National,E92000001,England,No identified SEN,All other pupils,Boys,242041,177683,73,181252,75,35.2
Academic year,201819,National,E92000001,England,All SEN,Total,Total,61237,14428,24,15077,25,25.4
Academic year,201819,National,E92000001,England,All SEN,Total,Girls,18080,5254,29,5409,30,26.3
Academic year,201819,National,E92000001,England,All SEN,Total,Boys,43157,9174,21,9668,22,25
Academic year,201819,National,E92000001,England,All SEN,FSM,Total,15144,2834,19,2974,20,24.4
Academic year,201819,National,E92000001,England,All SEN,FSM,Girls,4837,1128,23,1167,24,25.4
Academic year,201819,National,E92000001,England,All SEN,FSM,Boys,10307,1706,17,1807,18,23.9
Academic year,201819,National,E92000001,England,All SEN,All other pupils,Total,46093,11594,25,12103,26,25.7
Academic year,201819,National,E92000001,England,All SEN,All other pupils,Girls,13243,4126,31,4242,32,26.7
Academic year,201819,National,E92000001,England,All SEN,All other pupils,Boys,32850,7468,23,7861,24,25.3
Academic year,201819,National,E92000001,England,SEN support,Total,Total,50490,13974,28,14592,29,26.6
Academic year,201819,National,E92000001,England,SEN support,Total,Girls,15075,5091,34,5238,35,27.7
Academic year,201819,National,E92000001,England,SEN support,Total,Boys,35415,8883,25,9354,26,26.2
Academic year,201819,National,E92000001,England,SEN support,FSM,Total,12833,2773,22,2911,23,25.4
Academic year,201819,National,E92000001,England,SEN support,FSM,Girls,4160,1107,27,1146,28,26.4
Academic year,201819,National,E92000001,England,SEN support,FSM,Boys,8673,1666,19,1765,20,24.9
Academic year,201819,National,E92000001,England,SEN support,All other pupils,Total,37657,11201,30,11681,31,27
Academic year,201819,National,E92000001,England,SEN support,All other pupils,Girls,10915,3984,37,4092,37,28.1
Academic year,201819,National,E92000001,England,SEN support,All other pupils,Boys,26742,7217,27,7589,28,26.6
Academic year,201819,National,E92000001,England,SEN statement,Total,Total,10747,454,4,485,5,19.5
Academic year,201819,National,E92000001,England,SEN statement,Total,Girls,3005,163,5,171,6,19.7
Academic year,201819,National,E92000001,England,SEN statement,Total,Boys,7742,291,4,314,4,19.4
Academic year,201819,National,E92000001,England,SEN statement,FSM,Total,2311,61,3,63,3,19
Academic year,201819,National,E92000001,England,SEN statement,FSM,Girls,677,21,3,21,3,19.1
Academic year,201819,National,E92000001,England,SEN statement,FSM,Boys,1634,40,2,42,3,19
Academic year,201819,National,E92000001,England,SEN statement,All other pupils,Total,8436,393,5,422,5,19.6
Academic year,201819,National,E92000001,England,SEN statement,All other pupils,Girls,2328,142,6,150,6,19.8
Academic year,201819,National,E92000001,England,SEN statement,All other pupils,Boys,6108,251,4,272,4,19.5
Academic year,201819,National,E92000001,England,unclassified,Total,Total,12796,6225,49,6355,50,31.9
Academic year,201819,National,E92000001,England,unclassified,Total,Girls,6208,3343,54,3402,55,32.9
Academic year,201819,National,E92000001,England,unclassified,Total,Boys,6588,2882,44,2953,45,31
Academic year,201819,National,E92000001,England,unclassified,All other pupils,Total,12796,6225,49,6355,50,31.9
Academic year,201819,National,E92000001,England,unclassified,All other pupils,Girls,6208,3343,54,3402,55,32.9
Academic year,201819,National,E92000001,England,unclassified,All other pupils,Boys,6588,2882,44,2953,45,31
Academic year,201718,National,E92000001,England,Total,Total,Total,652349,457772,70,466668,72,34.6
Academic year,201718,National,E92000001,England,Total,Total,Girls,318270,246648,77,249651,78,35.8
Academic year,201718,National,E92000001,England,Total,Total,Boys,334079,211124,63,217017,65,33.4
Academic year,201718,National,E92000001,England,Total,FSM,Total,87190,47880,55,49312,57,31.5
Academic year,201718,National,E92000001,England,Total,FSM,Girls,42403,27000,64,27543,65,32.9
Academic year,201718,National,E92000001,England,Total,FSM,Boys,44787,20880,47,21769,49,30.2
Academic year,201718,National,E92000001,England,Total,All other pupils,Total,565159,409892,73,417356,74,35
Academic year,201718,National,E92000001,England,Total,All other pupils,Girls,275867,219648,80,222108,81,36.2
