Lower Layer Super Output Areas Code,Lower Layer Super Output Areas,Household deprivation (6 categories) Code,Household deprivation (6 categories),Observation
E01003013,Lambeth 036A,-8,Does not apply,0
E01003013,Lambeth 036A,1,Household is not deprived in any dimension,473
E01003013,Lambeth 036A,2,Household is deprived in one dimension,205
E01003013,Lambeth 036A,3,Household is deprived in two dimensions,35
E01003013,Lambeth 036A,4,Household is deprived in three dimensions,5
E01003013,Lambeth 036A,5,Household is deprived in four dimensions,2
E01003014,Lambeth 036B,-8,Does not apply,0
E01003014,Lambeth 036B,1,Household is not deprived in any dimension,280
E01003014,Lambeth 036B,2,Household is deprived in one dimension,207
E01003014,Lambeth 036B,3,Household is deprived in two dimensions,107
E01003014,Lambeth 036B,4,Household is deprived in three dimensions,44
E01003014,Lambeth 036B,5,Household is deprived in four dimensions,0
E01003015,Lambeth 002A,-8,Does not apply,0
E01003015,Lambeth 002A,1,Household is not deprived in any dimension,317
E01003015,Lambeth 002A,2,Household is deprived in one dimension,294
E01003015,Lambeth 002A,3,Household is deprived in two dimensions,151
E01003015,Lambeth 002A,4,Household is deprived in three dimensions,38
E01003015,Lambeth 002A,5,Household is deprived in four dimensions,2
E01003016,Lambeth 036C,-8,Does not apply,0
E01003016,Lambeth 036C,1,Household is not deprived in any dimension,228
E01003016,Lambeth 036C,2,Household is deprived in one dimension,129
E01003016,Lambeth 036C,3,Household is deprived in two dimensions,52
E01003016,Lambeth 036C,4,Household is deprived in three dimensions,11
E01003016,Lambeth 036C,5,Household is deprived in four dimensions,1
E01003017,Lambeth 036D,-8,Does not apply,0
E01003017,Lambeth 036D,1,Household is not deprived in any dimension,376
E01003017,Lambeth 036D,2,Household is deprived in one dimension,244
E01003017,Lambeth 036D,3,Household is deprived in two dimensions,104
E01003017,Lambeth 036D,4,Household is deprived in three dimensions,36
E01003017,Lambeth 036D,5,Household is deprived in four dimensions,6
E01003018,Lambeth 020A,-8,Does not apply,0
E01003018,Lambeth 020A,1,Household is not deprived in any dimension,514
E01003018,Lambeth 020A,2,Household is deprived in one dimension,313
E01003018,Lambeth 020A,3,Household is deprived in two dimensions,84
E01003018,Lambeth 020A,4,Household is deprived in three dimensions,18
E01003018,Lambeth 020A,5,Household is deprived in four dimensions,2
E01003019,Lambeth 015A,-8,Does not apply,0
E01003019,Lambeth 015A,1,Household is not deprived in any dimension,556
E01003019,Lambeth 015A,2,Household is deprived in one dimension,242
E01003019,Lambeth 015A,3,Household is deprived in two dimensions,69
E01003019,Lambeth 015A,4,Household is deprived in three dimensions,23
E01003019,Lambeth 015A,5,Household is deprived in four dimensions,0
E01003020,Lambeth 016A,-8,Does not apply,0
E01003020,Lambeth 016A,1,Household is not deprived in any dimension,443
E01003020,Lambeth 016A,2,Household is deprived in one dimension,271
E01003020,Lambeth 016A,3,Household is deprived in two dimensions,86
E01003020,Lambeth 016A,4,Household is deprived in three dimensions,26
E01003020,Lambeth 016A,5,Household is deprived in four dimensions,2
E01003021,Lambeth 021A,-8,Does not apply,0
E01003021,Lambeth 021A,1,Household is not deprived in any dimension,267
E01003021,Lambeth 021A,2,Household is deprived in one dimension,218
E01003021,Lambeth 021A,3,Household is deprived in two dimensions,110
E01003021,Lambeth 021A,4,Household is deprived in three dimensions,38
E01003021,Lambeth 021A,5,Household is deprived in four dimensions,2
E01003022,Lambeth 021B,-8,Does not apply,0
E01003022,Lambeth 021B,1,Household is not deprived in any dimension,419
E01003022,Lambeth 021B,2,Household is deprived in one dimension,197
E01003022,Lambeth 021B,3,Household is deprived in two dimensions,92
E01003022,Lambeth 021B,4,Household is deprived in three dimensions,26
E01003022,Lambeth 021B,5,Household is deprived in four dimensions,0
E01003023,Lambeth 021C,-8,Does not apply,0
E01003023,Lambeth 021C,1,Household is not deprived in any dimension,564
E01003023,Lambeth 021C,2,Household is deprived in one dimension,376
E01003023,Lambeth 021C,3,Household is deprived in two dimensions,133
E01003023,Lambeth 021C,4,Household is deprived in three dimensions,29
E01003023,Lambeth 021C,5,Household is deprived in four dimensions,2
E01003024,Lambeth 021D,-8,Does not apply,0
E01003024,Lambeth 021D,1,Household is not deprived in any dimension,312
E01003024,Lambeth 021D,2,Household is deprived in one dimension,288
E01003024,Lambeth 021D,3,Household is deprived in two dimensions,151
E01003024,Lambeth 021D,4,Household is deprived in three dimensions,32
E01003024,Lambeth 021D,5,Household is deprived in four dimensions,2
E01003025,Lambeth 021E,-8,Does not apply,0
E01003025,Lambeth 021E,1,Household is not deprived in any dimension,418
E01003025,Lambeth 021E,2,Household is deprived in one dimension,283
E01003025,Lambeth 021E,3,Household is deprived in two dimensions,114
E01003025,Lambeth 021E,4,Household is deprived in three dimensions,31
E01003025,Lambeth 021E,5,Household is deprived in four dimensions,3
E01003026,Lambeth 019A,-8,Does not apply,0
E01003026,Lambeth 019A,1,Household is not deprived in any dimension,396
E01003026,Lambeth 019A,2,Household is deprived in one dimension,175
E01003026,Lambeth 019A,3,Household is deprived in two dimensions,43
E01003026,Lambeth 019A,4,Household is deprived in three dimensions,10
E01003026,Lambeth 019A,5,Household is deprived in four dimensions,0
E01003027,Lambeth 019B,-8,Does not apply,0
E01003027,Lambeth 019B,1,Household is not deprived in any dimension,387
E01003027,Lambeth 019B,2,Household is deprived in one dimension,107
E01003027,Lambeth 019B,3,Household is deprived in two dimensions,24
E01003027,Lambeth 019B,4,Household is deprived in three dimensions,3
E01003027,Lambeth 019B,5,Household is deprived in four dimensions,0
E01003028,Lambeth 019C,-8,Does not apply,0
E01003028,Lambeth 019C,1,Household is not deprived in any dimension,352
E01003028,Lambeth 019C,2,Household is deprived in one dimension,177
E01003028,Lambeth 019C,3,Household is deprived in two dimensions,56
E01003028,Lambeth 019C,4,Household is deprived in three dimensions,14
E01003028,Lambeth 019C,5,Household is deprived in four dimensions,0
E01003029,Lambeth 017A,-8,Does not apply,0
E01003029,Lambeth 017A,1,Household is not deprived in any dimension,541
E01003029,Lambeth 017A,2,Household is deprived in one dimension,203
E01003029,Lambeth 017A,3,Household is deprived in two dimensions,121
E01003029,Lambeth 017A,4,Household is deprived in three dimensions,27
E01003029,Lambeth 017A,5,Household is deprived in four dimensions,1
E01003030,Lambeth 019D,-8,Does not apply,0
E01003030,Lambeth 019D,1,Household is not deprived in any dimension,509
E01003030,Lambeth 019D,2,Household is deprived in one dimension,178
E01003030,Lambeth 019D,3,Household is deprived in two dimensions,50
E01003030,Lambeth 019D,4,Household is deprived in three dimensions,6
E01003030,Lambeth 019D,5,Household is deprived in four dimensions,1
E01003031,Lambeth 023A,-8,Does not apply,0
E01003031,Lambeth 023A,1,Household is not deprived in any dimension,361
E01003031,Lambeth 023A,2,Household is deprived in one dimension,231
E01003031,Lambeth 023A,3,Household is deprived in two dimensions,97
E01003031,Lambeth 023A,4,Household is deprived in three dimensions,21
E01003031,Lambeth 023A,5,Household is deprived in four dimensions,3
E01003032,Lambeth 017B,-8,Does not apply,0
E01003032,Lambeth 017B,1,Household is not deprived in any dimension,399
E01003032,Lambeth 017B,2,Household is deprived in one dimension,258
E01003032,Lambeth 017B,3,Household is deprived in two dimensions,126
E01003032,Lambeth 017B,4,Household is deprived in three dimensions,31
E01003032,Lambeth 017B,5,Household is deprived in four dimensions,1
E01003033,Lambeth 019E,-8,Does not apply,0
E01003033,Lambeth 019E,1,Household is not deprived in any dimension,376
E01003033,Lambeth 019E,2,Household is deprived in one dimension,144
E01003033,Lambeth 019E,3,Household is deprived in two dimensions,58
E01003033,Lambeth 019E,4,Household is deprived in three dimensions,10
E01003033,Lambeth 019E,5,Household is deprived in four dimensions,0
E01003034,Lambeth 012A,-8,Does not apply,0
E01003034,Lambeth 012A,1,Household is not deprived in any dimension,368
E01003034,Lambeth 012A,2,Household is deprived in one dimension,211
E01003034,Lambeth 012A,3,Household is deprived in two dimensions,80
E01003034,Lambeth 012A,4,Household is deprived in three dimensions,34
E01003034,Lambeth 012A,5,Household is deprived in four dimensions,2
E01003035,Lambeth 012B,-8,Does not apply,0
E01003035,Lambeth 012B,1,Household is not deprived in any dimension,473
E01003035,Lambeth 012B,2,Household is deprived in one dimension,194
E01003035,Lambeth 012B,3,Household is deprived in two dimensions,73
E01003035,Lambeth 012B,4,Household is deprived in three dimensions,25
E01003035,Lambeth 012B,5,Household is deprived in four dimensions,0
E01003036,Lambeth 012C,-8,Does not apply,0
E01003036,Lambeth 012C,1,Household is not deprived in any dimension,437
E01003036,Lambeth 012C,2,Household is deprived in one dimension,189
E01003036,Lambeth 012C,3,Household is deprived in two dimensions,82
E01003036,Lambeth 012C,4,Household is deprived in three dimensions,42
E01003036,Lambeth 012C,5,Household is deprived in four dimensions,4
E01003037,Lambeth 013A,-8,Does not apply,0
E01003037,Lambeth 013A,1,Household is not deprived in any dimension,245
E01003037,Lambeth 013A,2,Household is deprived in one dimension,198
E01003037,Lambeth 013A,3,Household is deprived in two dimensions,109
E01003037,Lambeth 013A,4,Household is deprived in three dimensions,44
E01003037,Lambeth 013A,5,Household is deprived in four dimensions,1
E01003038,Lambeth 013B,-8,Does not apply,0
E01003038,Lambeth 013B,1,Household is not deprived in any dimension,516
E01003038,Lambeth 013B,2,Household is deprived in one dimension,194
E01003038,Lambeth 013B,3,Household is deprived in two dimensions,52
E01003038,Lambeth 013B,4,Household is deprived in three dimensions,7
E01003038,Lambeth 013B,5,Household is deprived in four dimensions,2
E01003039,Lambeth 013C,-8,Does not apply,0
E01003039,Lambeth 013C,1,Household is not deprived in any dimension,656
E01003039,Lambeth 013C,2,Household is deprived in one dimension,242
E01003039,Lambeth 013C,3,Household is deprived in two dimensions,50
E01003039,Lambeth 013C,4,Household is deprived in three dimensions,12
E01003039,Lambeth 013C,5,Household is deprived in four dimensions,1
E01003040,Lambeth 013D,-8,Does not apply,0
E01003040,Lambeth 013D,1,Household is not deprived in any dimension,369
E01003040,Lambeth 013D,2,Household is deprived in one dimension,155
E01003040,Lambeth 013D,3,Household is deprived in two dimensions,51
E01003040,Lambeth 013D,4,Household is deprived in three dimensions,19
E01003040,Lambeth 013D,5,Household is deprived in four dimensions,0
E01003041,Lambeth 017C,-8,Does not apply,0
E01003041,Lambeth 017C,1,Household is not deprived in any dimension,312
E01003041,Lambeth 017C,2,Household is deprived in one dimension,232
E01003041,Lambeth 017C,3,Household is deprived in two dimensions,88
E01003041,Lambeth 017C,4,Household is deprived in three dimensions,43
E01003041,Lambeth 017C,5,Household is deprived in four dimensions,2
