Electoral wards and divisions Code,Electoral wards and divisions,Household deprivation (6 categories) Code,Household deprivation (6 categories),Observation
E05014095,Brixton Acre Lane,-8,Does not apply,0
E05014095,Brixton Acre Lane,1,Household is not deprived in any dimension,3530
E05014095,Brixton Acre Lane,2,Household is deprived in one dimension,2046
E05014095,Brixton Acre Lane,3,Household is deprived in two dimensions,762
E05014095,Brixton Acre Lane,4,Household is deprived in three dimensions,252
E05014095,Brixton Acre Lane,5,Household is deprived in four dimensions,27
E05014096,Brixton North,-8,Does not apply,0
E05014096,Brixton North,1,Household is not deprived in any dimension,2725
E05014096,Brixton North,2,Household is deprived in one dimension,2329
E05014096,Brixton North,3,Household is deprived in two dimensions,1243
E05014096,Brixton North,4,Household is deprived in three dimensions,378
E05014096,Brixton North,5,Household is deprived in four dimensions,36
E05014097,Brixton Rush Common,-8,Does not apply,0
E05014097,Brixton Rush Common,1,Household is not deprived in any dimension,3069
E05014097,Brixton Rush Common,2,Household is deprived in one dimension,2029
E05014097,Brixton Rush Common,3,Household is deprived in two dimensions,963
E05014097,Brixton Rush Common,4,Household is deprived in three dimensions,236
E05014097,Brixton Rush Common,5,Household is deprived in four dimensions,13
E05014098,Brixton Windrush,-8,Does not apply,0
E05014098,Brixton Windrush,1,Household is not deprived in any dimension,1935
E05014098,Brixton Windrush,2,Household is deprived in one dimension,1255
E05014098,Brixton Windrush,3,Household is deprived in two dimensions,701
E05014098,Brixton Windrush,4,Household is deprived in three dimensions,179
E05014098,Brixton Windrush,5,Household is deprived in four dimensions,20
E05014099,Clapham Common & Abbeville,-8,Does not apply,0
E05014099,Clapham Common & Abbeville,1,Household is not deprived in any dimension,2722
E05014099,Clapham Common & Abbeville,2,Household is deprived in one dimension,1057
E05014099,Clapham Common & Abbeville,3,Household is deprived in two dimensions,361
E05014099,Clapham Common & Abbeville,4,Household is deprived in three dimensions,76
E05014099,Clapham Common & Abbeville,5,Household is deprived in four dimensions,5
E05014100,Clapham East,-8,Does not apply,0
E05014100,Clapham East,1,Household is not deprived in any dimension,2201
E05014100,Clapham East,2,Household is deprived in one dimension,1294
E05014100,Clapham East,3,Household is deprived in two dimensions,564
E05014100,Clapham East,4,Household is deprived in three dimensions,187
E05014100,Clapham East,5,Household is deprived in four dimensions,4
E05014101,Clapham Park,-8,Does not apply,0
E05014101,Clapham Park,1,Household is not deprived in any dimension,2693
E05014101,Clapham Park,2,Household is deprived in one dimension,1788
E05014101,Clapham Park,3,Household is deprived in two dimensions,731
