"Indicator ID","Indicator Name","Parent Code","Parent Name","Area Code","AreaName","Area Type","Sex","Age","Category Type","Category","Time period","Value","Lower CI 95.0 limit","Upper CI 95.0 limit","Lower CI 99.8 limit","Upper CI 99.8 limit","Count","Denominator","Value note","Recent Trend","Compared to England value or percentiles","Compared to parent value or percentiles","Time period Sortable","New data","Compared to goal","Time period range"
"93088","C16 - Percentage of adults (aged 18+) classified as overweight or obese","","","E92000001","England","England","Persons","18+ yrs","","","2015/16","61.3864","61.1518","61.6152","61.012","61.7168","","170273","","","","","20210000","","","1y"
"93088","C16 - Percentage of adults (aged 18+) classified as overweight or obese","E92000001","England","E12000007","London region","Government Office Region","Persons","18+ yrs","","","2015/16","55.1388","54.3731","55.8934","53.8869","56.392","","16247","","","","","20210000","","","1y"
"93088","C16 - Percentage of adults (aged 18+) classified as overweight or obese","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (post 4/21)","Persons","18+ yrs","","","2015/16","51.6309","48.2077","55.0062","46.1063","56.7368","","809","","","","","20210000","","","1y"
"93088","C16 - Percentage of adults (aged 18+) classified as overweight or obese","","","E92000001","England","England","Persons","18+ yrs","","","2016/17","61.45","61.2148","61.6835","61.0795","61.8195","","166213","","","","","20210000","","","1y"
"93088","C16 - Percentage of adults (aged 18+) classified as overweight or obese","E92000001","England","E12000007","London region","Government Office Region","Persons","18+ yrs","","","2016/17","55.3594","54.5837","56.1381","54.0549","56.5713","","15697","","","","","20210000","","","1y"
"93088","C16 - Percentage of adults (aged 18+) classified as overweight or obese","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (post 4/21)","Persons","18+ yrs","","","2016/17","51.1466","47.8571","54.5238","46.0714","56.5476","","840","","","","","20210000","","","1y"
"93088","C16 - Percentage of adults (aged 18+) classified as overweight or obese","","","E92000001","England","England","Persons","18+ yrs","","","2017/18","62.0165","61.7687","62.2593","61.6336","62.401","","151677","","","","","20210000","","","1y"
"93088","C16 - Percentage of adults (aged 18+) classified as overweight or obese","E92000001","England","E12000007","London region","Government Office Region","Persons","18+ yrs","","","2017/18","55.6568","54.8186","56.5247","54.296","57.0858","","13012","","","","","20210000","","","1y"
"93088","C16 - Percentage of adults (aged 18+) classified as overweight or obese","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (post 4/21)","Persons","18+ yrs","","","2017/18","52.4675","47.6427","57.3201","45.1613","60.2978","","403","","","","","20210000","","","1y"
"93088","C16 - Percentage of adults (aged 18+) classified as overweight or obese","","","E92000001","England","England","Persons","18+ yrs","","","2018/19","62.1274","61.8869","62.366","61.7452","62.4941","","153837","","","","","20210000","","","1y"
"93088","C16 - Percentage of adults (aged 18+) classified as overweight or obese","E92000001","England","E12000007","London region","Government Office Region","Persons","18+ yrs","","","2018/19","56.0567","55.2022","56.9118","54.7555","57.3508","","12985","","","","","20210000","","","1y"
"93088","C16 - Percentage of adults (aged 18+) classified as overweight or obese","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (post 4/21)","Persons","18+ yrs","","","2018/19","50.4187","45.6471","55.2941","42.5882","58.1176","","425","","","","","20210000","","","1y"
"93088","C16 - Percentage of adults (aged 18+) classified as overweight or obese","","","E92000001","England","England","Persons","18+ yrs","","","2019/20","62.7566","62.513","63.0041","62.3578","63.1232","","149476","","","","","20210000","","","1y"
"93088","C16 - Percentage of adults (aged 18+) classified as overweight or obese","E92000001","England","E12000007","London region","Government Office Region","Persons","18+ yrs","","","2019/20","55.5171","54.6679","56.3874","54.1429","56.806","","13143","","","","","20210000","","","1y"
"93088","C16 - Percentage of adults (aged 18+) classified as overweight or obese","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (post 4/21)","Persons","18+ yrs","","","2019/20","47.4793","42.5373","52.4876","39.5522","54.9751","","402","","","","","20210000","","","1y"
"93088","C16 - Percentage of adults (aged 18+) classified as overweight or obese","","","E92000001","England","England","Persons","18+ yrs","","","2020/21","63.4521","63.2126","63.6926","63.06","63.8042","","148763","","","","","20210000","","","1y"
"93088","C16 - Percentage of adults (aged 18+) classified as overweight or obese","E92000001","England","E12000007","London region","Government Office Region","Persons","18+ yrs","","","2020/21","55.9719","55.1013","56.8326","54.4984","57.335","","12938","","","","","20210000","","","1y"
"93088","C16 - Percentage of adults (aged 18+) classified as overweight or obese","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (post 4/21)","Persons","18+ yrs","","","2020/21","57.7739","53.066","62.5","50.2358","65.0946","","424","","Cannot be calculated","","","20210000","","","1y"
