"Indicator ID","Indicator Name","Parent Code","Parent Name","Area Code","AreaName","Area Type","Sex","Age","Category Type","Category","Time period","Value","Lower CI 95.0 limit","Upper CI 95.0 limit","Lower CI 99.8 limit","Upper CI 99.8 limit","Count","Denominator","Value note","Recent Trend","Compared to England value or percentiles","Compared to parent value or percentiles","Time period Sortable","New data","Compared to goal","Time period range"
"93700","B01b - Children in relative low income families (under 16s)","","","E92000001","England","England","Persons","<16 yrs","","","2014/15","15.3","15.2465","15.3086","15.2286","15.3266","1574129","10303556","","","","","20200000","","","1y"
"93700","B01b - Children in relative low income families (under 16s)","E92000001","England","E12000007","London region","Government Office Region","Persons","<16 yrs","","","2014/15","14.1","14.0373","14.1839","13.9952","14.2264","244454","1732434","","","","","20200000","","","1y"
"93700","B01b - Children in relative low income families (under 16s)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (post 4/21)","Persons","<16 yrs","","","2014/15","14.7","14.2627","15.0894","14.0315","15.335","8258","56287","","","","","20200000","","","1y"
"93700","B01b - Children in relative low income families (under 16s)","","","E92000001","England","England","Persons","<16 yrs","","","2015/16","16.1","16.1028","16.166","16.0846","16.1843","1678799","10405114","","","","","20200000","","","1y"
"93700","B01b - Children in relative low income families (under 16s)","E92000001","England","E12000007","London region","Government Office Region","Persons","<16 yrs","","","2015/16","14.3","14.2092","14.3553","14.1673","14.3976","251867","1763519","","","","","20200000","","","1y"
"93700","B01b - Children in relative low income families (under 16s)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (post 4/21)","Persons","<16 yrs","","","2015/16","14.8","14.3719","15.1988","14.1406","15.4444","8367","56608","","","","","20200000","","","1y"
"93700","B01b - Children in relative low income families (under 16s)","","","E92000001","England","England","Persons","<16 yrs","","","2016/17","16.9","16.8722","16.9362","16.8537","16.9547","1779856","10529100","","","","","20200000","","","1y"
"93700","B01b - Children in relative low income families (under 16s)","E92000001","England","E12000007","London region","Government Office Region","Persons","<16 yrs","","","2016/17","14.6","14.5669","14.7132","14.5249","14.7557","262478","1792893","","","","","20200000","","","1y"
"93700","B01b - Children in relative low income families (under 16s)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (post 4/21)","Persons","<16 yrs","","","2016/17","15.6","15.1971","16.0423","14.9603","16.2929","8852","56689","","","","","20200000","","","1y"
"93700","B01b - Children in relative low income families (under 16s)","","","E92000001","England","England","Persons","<16 yrs","","","2017/18","18","17.9187","17.9839","17.8999","18.0027","1909648","10637971","","","","","20200000","","","1y"
"93700","B01b - Children in relative low income families (under 16s)","E92000001","England","E12000007","London region","Government Office Region","Persons","<16 yrs","","","2017/18","16.9","16.8179","16.9722","16.7736","17.0169","306273","1812812","","","","","20200000","","","1y"
"93700","B01b - Children in relative low income families (under 16s)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (post 4/21)","Persons","<16 yrs","","","2017/18","19","18.524","19.4362","18.2672","19.7055","10773","56772","","","","","20200000","","","1y"
"93700","B01b - Children in relative low income families (under 16s)","","","E92000001","England","England","Persons","<16 yrs","","","2018/19","18.1","18.1143","18.1794","18.0955","18.1983","1950504","10748458","","","","","20200000","","","1y"
"93700","B01b - Children in relative low income families (under 16s)","E92000001","England","E12000007","London region","Government Office Region","Persons","<16 yrs","","","2018/19","17.5","17.4038","17.5592","17.3592","17.6042","320747","1834795","","","","","20200000","","","1y"
"93700","B01b - Children in relative low income families (under 16s)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (post 4/21)","Persons","<16 yrs","","","2018/19","18.7","18.2604","19.1669","18.0053","19.4346","10641","56875","","","","","20200000","","","1y"
"93700","B01b - Children in relative low income families (under 16s)","","","E92000001","England","England","Persons","<16 yrs","","","2019/20","19.3","19.2596","19.3261","19.2405","19.3454","2086848","10816679","","","","","20200000","","","1y"
"93700","B01b - Children in relative low income families (under 16s)","E92000001","England","E12000007","London region","Government Office Region","Persons","<16 yrs","","","2019/20","18.4","18.3683","18.5267","18.3228","18.5725","340092","1843581","","","","","20200000","","","1y"
"93700","B01b - Children in relative low income families (under 16s)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (post 4/21)","Persons","<16 yrs","","","2019/20","19.9","19.4277","20.3603","19.1649","20.6352","11198","56300","","","","","20200000","","","1y"
"93700","B01b - Children in relative low income families (under 16s)","","","E92000001","England","England","Persons","<16 yrs","","","2020/21","18.5","18.4312","18.4965","18.4124","18.5153","2003734","10852240","","","","","20200000","","","1y"
"93700","B01b - Children in relative low income families (under 16s)","E92000001","England","E12000007","London region","Government Office Region","Persons","<16 yrs","","","2020/21","16.6","16.4756","16.627","16.4322","16.6708","306727","1853207","","","","","20200000","","","1y"
"93700","B01b - Children in relative low income families (under 16s)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (post 4/21)","Persons","<16 yrs","","","2020/21","17.9","17.4308","18.3306","17.1779","18.5966","9961","55722","","No significant change","","","20200000","","","1y"
