"Indicator ID","Indicator Name","Parent Code","Parent Name","Area Code","AreaName","Area Type","Sex","Age","Category Type","Category","Time period","Value","Lower CI 95.0 limit","Upper CI 95.0 limit","Lower CI 99.8 limit","Upper CI 99.8 limit","Count","Denominator","Value note","Recent Trend","Compared to England value or percentiles","Compared to parent value or percentiles","Time period Sortable","New data","Compared to goal","Time period range"
"273","CHD: QOF prevalence (all ages)","","","E92000001","England","England","Persons","All ages","","","2009/10","3.4376","3.4328","3.4425","","","1885089","54836561","","","","","20210000","","","1y"
"273","CHD: QOF prevalence (all ages)","E92000001","England","E12000007","London region","Government Office Region","Persons","All ages","","","2009/10","","","","","","","","","","","","20210000","","","1y"
"273","CHD: QOF prevalence (all ages)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (4/21-3/23)","Persons","All ages","","","2009/10","","","","","","","","","","","","20210000","","","1y"
"273","CHD: QOF prevalence (all ages)","","","E92000001","England","England","Persons","All ages","","","2010/11","3.4032","3.3984","3.408","","","1877518","55169643","","","","","20210000","","","1y"
"273","CHD: QOF prevalence (all ages)","E92000001","England","E12000007","London region","Government Office Region","Persons","All ages","","","2010/11","","","","","","","","","","","","20210000","","","1y"
"273","CHD: QOF prevalence (all ages)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (4/21-3/23)","Persons","All ages","","","2010/11","","","","","","","","","","","","20210000","","","1y"
"273","CHD: QOF prevalence (all ages)","","","E92000001","England","England","Persons","All ages","","","2011/12","3.3778","3.3731","3.3826","","","1875548","55525732","","","","","20210000","","","1y"
"273","CHD: QOF prevalence (all ages)","E92000001","England","E12000007","London region","Government Office Region","Persons","All ages","","","2011/12","","","","","","","","","","","","20210000","","","1y"
"273","CHD: QOF prevalence (all ages)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (4/21-3/23)","Persons","All ages","","","2011/12","","","","","","","","","","","","20210000","","","1y"
"273","CHD: QOF prevalence (all ages)","","","E92000001","England","England","Persons","All ages","","","2012/13","3.3393","3.3346","3.344","","","1870395","56012096","","","","","20210000","","","1y"
"273","CHD: QOF prevalence (all ages)","E92000001","England","E12000007","London region","Government Office Region","Persons","All ages","","","2012/13","2.1379","2.1285","2.1473","2.1231","2.1528","193614","9056401","Aggregated from all known lower geography values","","","","20210000","","","1y"
"273","CHD: QOF prevalence (all ages)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (4/21-3/23)","Persons","All ages","","","2012/13","1.3331","1.2966","1.3708","","","4896","367251","","","","","20210000","","","1y"
"273","CHD: QOF prevalence (all ages)","","","E92000001","England","England","Persons","All ages","","","2013/14","3.2932","3.2885","3.2978","","","1854867","56324887","","","","","20210000","","","1y"
"273","CHD: QOF prevalence (all ages)","E92000001","England","E12000007","London region","Government Office Region","Persons","All ages","","","2013/14","2.112","2.1027","2.1214","","","191732","9078143","","","","","20210000","","","1y"
"273","CHD: QOF prevalence (all ages)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (4/21-3/23)","Persons","All ages","","","2013/14","1.3591","1.3218","1.3975","","","4895","360160","","","","","20210000","","","1y"
"273","CHD: QOF prevalence (all ages)","","","E92000001","England","England","Persons","All ages","","","2014/15","3.2451","3.2405","3.2498","","","1843813","56817654","","","","","20210000","","","1y"
"273","CHD: QOF prevalence (all ages)","E92000001","England","E12000007","London region","Government Office Region","Persons","All ages","","","2014/15","2.0674","2.0582","2.0766","","","191318","9254101","","","","","20210000","","","1y"
"273","CHD: QOF prevalence (all ages)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (4/21-3/23)","Persons","All ages","","","2014/15","1.3244","1.2879","1.3618","","","4867","367501","","","","","20210000","","","1y"
"273","CHD: QOF prevalence (all ages)","","","E92000001","England","England","Persons","All ages","","","2015/16","3.1961","3.1915","3.2006","","","1839330","57549410","","","","","20210000","","","1y"
"273","CHD: QOF prevalence (all ages)","E92000001","England","E12000007","London region","Government Office Region","Persons","All ages","","","2015/16","2.0358","2.0268","2.0449","","","191768","9419566","","","","","20210000","","","1y"
"273","CHD: QOF prevalence (all ages)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (4/21-3/23)","Persons","All ages","","","2015/16","1.2725","1.2373","1.3087","","","4819","378698","","","","","20210000","","","1y"
"273","CHD: QOF prevalence (all ages)","","","E92000001","England","England","Persons","All ages","","","2016/17","3.1532","3.1487","3.1577","","","1829777","58029147","","","","","20210000","","","1y"
"273","CHD: QOF prevalence (all ages)","E92000001","England","E12000007","London region","Government Office Region","Persons","All ages","","","2016/17","2.0077","1.9988","2.0166","","","192622","9594167","","","","","20210000","","","1y"
"273","CHD: QOF prevalence (all ages)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (4/21-3/23)","Persons","All ages","","","2016/17","1.2621","1.2273","1.2979","","","4847","384047","","","","","20210000","","","1y"
"273","CHD: QOF prevalence (all ages)","","","E92000001","England","England","Persons","All ages","","","2017/18","3.1299","3.1255","3.1344","3.1229","3.137","1827352","58383266","","","","","20210000","","","1y"
"273","CHD: QOF prevalence (all ages)","E92000001","England","E12000007","London region","Government Office Region","Persons","All ages","","","2017/18","1.9694","1.9607","1.9781","1.9558","1.9832","192858","9792591","","","","","20210000","","","1y"
"273","CHD: QOF prevalence (all ages)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (4/21-3/23)","Persons","All ages","","","2017/18","1.2139","1.1805","1.2483","1.1616","1.2685","4865","400778","","","","","20210000","","","1y"
"273","CHD: QOF prevalence (all ages)","","","E92000001","England","England","Persons","All ages","","","2018/19","3.097","3.0926","3.1014","3.0901","3.104","1839211","59386096","There is a data quality issue with this value. Potential underestimate of the value due to double counting of patients in QOF","","","","20210000","","","1y"
"273","CHD: QOF prevalence (all ages)","E92000001","England","E12000007","London region","Government Office Region","Persons","All ages","","","2018/19","1.9519","1.9434","1.9605","1.9385","1.9654","196429","10063429","There is a data quality issue with this value. Potential underestimate of the value due to double counting of patients in QOF","","","","20210000","","","1y"
"273","CHD: QOF prevalence (all ages)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (4/21-3/23)","Persons","All ages","","","2018/19","1.2031","1.1702","1.2369","1.1517","1.2569","4940","410592","","","","","20210000","","","1y"
"273","CHD: QOF prevalence (all ages)","","","E92000001","England","England","Persons","All ages","","","2019/20","3.0933","3.0889","3.0976","3.0864","3.1001","1868564","60407685","","","","","20210000","","","1y"
"273","CHD: QOF prevalence (all ages)","E92000001","England","E12000007","London region","Government Office Region","Persons","All ages","","","2019/20","1.9465","1.938","1.9549","1.9332","1.9598","200105","10280490","","","","","20210000","","","1y"
"273","CHD: QOF prevalence (all ages)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (4/21-3/23)","Persons","All ages","","","2019/20","1.1942","1.1617","1.2275","1.1434","1.2471","5008","419369","","","","","20210000","","","1y"
"273","CHD: QOF prevalence (all ages)","","","E92000001","England","England","Persons","All ages","","","2020/21","3.048","3.0437","3.0524","3.0412","3.0549","1850657","60716244","","","","","20210000","","","1y"
"273","CHD: QOF prevalence (all ages)","E92000001","England","E12000007","London region","Government Office Region","Persons","All ages","","","2020/21","1.9057","1.8974","1.9141","1.8926","1.9189","197502","10363689","Aggregated from all known lower geography values","","","","20210000","","","1y"
"273","CHD: QOF prevalence (all ages)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (4/21-3/23)","Persons","All ages","","","2020/21","1.1978","1.1651","1.2313","1.1467","1.251","4975","415362","","","","","20210000","","","1y"
"273","CHD: QOF prevalence (all ages)","","","E92000001","England","England","Persons","All ages","","","2021/22","3.0137","3.0095","3.018","3.007","3.0205","1856476","61600389","","","","","20210000","","","1y"
