"Indicator ID","Indicator Name","Parent Code","Parent Name","Area Code","AreaName","Area Type","Sex","Age","Category Type","Category","Time period","Value","Lower CI 95.0 limit","Upper CI 95.0 limit","Lower CI 99.8 limit","Upper CI 99.8 limit","Count","Denominator","Value note","Recent Trend","Compared to England value or percentiles","Compared to parent value or percentiles","Time period Sortable","New data","Compared to goal","Time period range"
"848","Depression: QOF prevalence (18+ yrs)","","","E92000001","England","England","Persons","18+ yrs","","","2009/10","10.9081","10.8982","10.918","","","4648287","42613280.08474197","","","","","20210000","","","1y"
"848","Depression: QOF prevalence (18+ yrs)","E92000001","England","E12000007","London region","Government Office Region","Persons","18+ yrs","","","2009/10","","","","","","","","","","","","20210000","","","1y"
"848","Depression: QOF prevalence (18+ yrs)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (4/21-3/23)","Persons","18+ yrs","","","2009/10","","","","","","","","","","","","20210000","","","1y"
"848","Depression: QOF prevalence (18+ yrs)","","","E92000001","England","England","Persons","18+ yrs","","","2010/11","11.1941","11.1847","11.2034","","","4878188","43578391.29277933","","","","","20210000","","","1y"
"848","Depression: QOF prevalence (18+ yrs)","E92000001","England","E12000007","London region","Government Office Region","Persons","18+ yrs","","","2010/11","","","","","","","","","","","","20210000","","","1y"
"848","Depression: QOF prevalence (18+ yrs)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (4/21-3/23)","Persons","18+ yrs","","","2010/11","","","","","","","","","","","","20210000","","","1y"
"848","Depression: QOF prevalence (18+ yrs)","","","E92000001","England","England","Persons","18+ yrs","","","2011/12","11.6838","11.6743","11.6933","","","5123948","43855136","","","","","20210000","","","1y"
"848","Depression: QOF prevalence (18+ yrs)","E92000001","England","E12000007","London region","Government Office Region","Persons","18+ yrs","","","2011/12","","","","","","","","","","","","20210000","","","1y"
"848","Depression: QOF prevalence (18+ yrs)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (4/21-3/23)","Persons","18+ yrs","","","2011/12","","","","","","","","","","","","20210000","","","1y"
"848","Depression: QOF prevalence (18+ yrs)","","","E92000001","England","England","Persons","18+ yrs","","","2012/13","5.8371","5.8302","5.844","","","2582233","44238482.5251","","","","","20210000","","","1y"
