"Indicator ID","Indicator Name","Parent Code","Parent Name","Area Code","AreaName","Area Type","Sex","Age","Category Type","Category","Time period","Value","Lower CI 95.0 limit","Upper CI 95.0 limit","Lower CI 99.8 limit","Upper CI 99.8 limit","Count","Denominator","Value note","Recent Trend","Compared to England value or percentiles","Compared to parent value or percentiles","Time period Sortable","New data","Compared to goal","Time period range"
"90362","A01a - Healthy life expectancy at birth (Female)","","","E92000001","England","England","Female","All ages","","","2009 - 11","64.0379","63.8814","64.1945","","","","","","","","","20180000","","","3y"
"90362","A01a - Healthy life expectancy at birth (Female)","E92000001","England","E12000007","London region","Government Office Region","Female","All ages","","","2009 - 11","63.7742","63.3162","64.2322","","","","","","","","","20180000","","","3y"
"90362","A01a - Healthy life expectancy at birth (Female)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (pre 4/19)","Female","All ages","","","2009 - 11","62.5088","59.4735","65.544","","","","","","","","","20180000","","","3y"
"90362","A01a - Healthy life expectancy at birth (Female)","","","E92000001","England","England","Female","All ages","","","2010 - 12","64.0458","63.8835","64.208","","","","","","","","","20180000","","","3y"
"90362","A01a - Healthy life expectancy at birth (Female)","E92000001","England","E12000007","London region","Government Office Region","Female","All ages","","","2010 - 12","63.6053","63.1312","64.0794","","","","","","","","","20180000","","","3y"
"90362","A01a - Healthy life expectancy at birth (Female)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (pre 4/19)","Female","All ages","","","2010 - 12","61.3966","58.143","64.6502","","","","","","","","","20180000","","","3y"
"90362","A01a - Healthy life expectancy at birth (Female)","","","E92000001","England","England","Female","All ages","","","2011 - 13","63.8406","63.6728","64.0084","","","","","","","","","20180000","","","3y"
"90362","A01a - Healthy life expectancy at birth (Female)","E92000001","England","E12000007","London region","Government Office Region","Female","All ages","","","2011 - 13","63.7393","63.2551","64.2234","","","","","","","","","20180000","","","3y"
"90362","A01a - Healthy life expectancy at birth (Female)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (pre 4/19)","Female","All ages","","","2011 - 13","62.7892","59.3854","66.193","","","","","","","","","20180000","","","3y"
"90362","A01a - Healthy life expectancy at birth (Female)","","","E92000001","England","England","Female","All ages","","","2012 - 14","63.8544","63.6843","64.0245","","","","","","","","","20180000","","","3y"
"90362","A01a - Healthy life expectancy at birth (Female)","E92000001","England","E12000007","London region","Government Office Region","Female","All ages","","","2012 - 14","63.8497","63.3545","64.345","","","","","","","","","20180000","","","3y"
"90362","A01a - Healthy life expectancy at birth (Female)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (pre 4/19)","Female","All ages","","","2012 - 14","63.5735","59.7009","67.4462","","","","","","","","","20180000","","","3y"
"90362","A01a - Healthy life expectancy at birth (Female)","","","E92000001","England","England","Female","All ages","","","2013 - 15","64.0632","63.8891","64.2374","","","","","","","","","20180000","","","3y"
"90362","A01a - Healthy life expectancy at birth (Female)","E92000001","England","E12000007","London region","Government Office Region","Female","All ages","","","2013 - 15","64.1112","63.6035","64.619","","","","","","","","","20180000","","","3y"
"90362","A01a - Healthy life expectancy at birth (Female)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (pre 4/19)","Female","All ages","","","2013 - 15","63.1392","58.842","67.4364","","","","","","","","","20180000","","","3y"
"90362","A01a - Healthy life expectancy at birth (Female)","","","E92000001","England","England","Female","All ages","","","2014 - 16","63.8058","63.627","63.9845","","","","","","","","","20180000","","","3y"
"90362","A01a - Healthy life expectancy at birth (Female)","E92000001","England","E12000007","London region","Government Office Region","Female","All ages","","","2014 - 16","64.4195","63.8965","64.9426","","","","","","","","","20180000","","","3y"
"90362","A01a - Healthy life expectancy at birth (Female)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (pre 4/19)","Female","All ages","","","2014 - 16","63.437","59.5573","67.3168","","","","","","","","","20180000","","","3y"
"90362","A01a - Healthy life expectancy at birth (Female)","","","E92000001","England","England","Female","All ages","","","2015 - 17","63.7749","63.5957","63.9542","","","","","","","","","20180000","","","3y"
"90362","A01a - Healthy life expectancy at birth (Female)","E92000001","England","E12000007","London region","Government Office Region","Female","All ages","","","2015 - 17","64.5605","64.0195","65.1015","","","","","","","","","20180000","","","3y"
"90362","A01a - Healthy life expectancy at birth (Female)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (pre 4/19)","Female","All ages","","","2015 - 17","66.3114","61.7081","70.9146","","","","","","","","","20180000","","","3y"
"90362","A01a - Healthy life expectancy at birth (Female)","","","E92000001","England","England","Female","All ages","","","2016 - 18","63.885","63.7035","64.0664","","","","","","","","","20180000","","","3y"
"90362","A01a - Healthy life expectancy at birth (Female)","E92000001","England","E12000007","London region","Government Office Region","Female","All ages","","","2016 - 18","64.4072","63.8635","64.9509","","","","","","","","","20180000","","","3y"
"90362","A01a - Healthy life expectancy at birth (Female)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (pre 4/19)","Female","All ages","","","2016 - 18","62.8095","59.2063","66.4126","","","","","","","","","20180000","","","3y"
"90362","A01a - Healthy life expectancy at birth (Female)","","","E92000001","England","England","Female","All ages","","","2017 - 19","63.52","63.33","63.71","","","","","","","","","20180000","","","3y"
"90362","A01a - Healthy life expectancy at birth (Female)","E92000001","England","E12000007","London region","Government Office Region","Female","All ages","","","2017 - 19","64.03","63.48","64.59","","","","","","","","","20180000","","","3y"
"90362","A01a - Healthy life expectancy at birth (Female)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (pre 4/19)","Female","All ages","","","2017 - 19","59.24","55.45","63.02","","","","","","","","","20180000","","","3y"
"90362","A01a - Healthy life expectancy at birth (Female)","","","E92000001","England","England","Female","All ages","","","2018 - 20","63.87","63.66","64.07","","","","","","","","","20180000","","","3y"
"90362","A01a - Healthy life expectancy at birth (Female)","E92000001","England","E12000007","London region","Government Office Region","Female","All ages","","","2018 - 20","64.97","64.29","65.66","","","","","","","","","20180000","","","3y"
"90362","A01a - Healthy life expectancy at birth (Female)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (pre 4/19)","Female","All ages","","","2018 - 20","59.48","54.84","64.13","","","","","","Cannot be calculated","","","20180000","","","3y"
