"Indicator ID","Indicator Name","Parent Code","Parent Name","Area Code","AreaName","Area Type","Sex","Age","Category Type","Category","Time period","Value","Lower CI 95.0 limit","Upper CI 95.0 limit","Lower CI 99.8 limit","Upper CI 99.8 limit","Count","Denominator","Value note","Recent Trend","Compared to England value or percentiles","Compared to parent value or percentiles","Time period Sortable","New data","Compared to goal","Time period range"
"90362","A01a - Healthy life expectancy at birth (Male)","","","E92000001","England","England","Male","All ages","","","2009 - 11","63.0265","62.8779","63.1751","","","","","","","","","20180000","","","3y"
"90362","A01a - Healthy life expectancy at birth (Male)","E92000001","England","E12000007","London region","Government Office Region","Male","All ages","","","2009 - 11","62.7123","62.2715","63.1531","","","","","","","","","20180000","","","3y"
"90362","A01a - Healthy life expectancy at birth (Male)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (pre 4/19)","Male","All ages","","","2009 - 11","60.5403","57.9119","63.1687","","","","","","","","","20180000","","","3y"
"90362","A01a - Healthy life expectancy at birth (Male)","","","E92000001","England","England","Male","All ages","","","2010 - 12","63.1568","63.0042","63.3094","","","","","","","","","20180000","","","3y"
"90362","A01a - Healthy life expectancy at birth (Male)","E92000001","England","E12000007","London region","Government Office Region","Male","All ages","","","2010 - 12","63.0835","62.6354","63.5317","","","","","","","","","20180000","","","3y"
"90362","A01a - Healthy life expectancy at birth (Male)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (pre 4/19)","Male","All ages","","","2010 - 12","61.9521","59.272","64.6321","","","","","","","","","20180000","","","3y"
"90362","A01a - Healthy life expectancy at birth (Male)","","","E92000001","England","England","Male","All ages","","","2011 - 13","63.1845","63.0261","63.3429","","","","","","","","","20180000","","","3y"
"90362","A01a - Healthy life expectancy at birth (Male)","E92000001","England","E12000007","London region","Government Office Region","Male","All ages","","","2011 - 13","63.3522","62.8963","63.8082","","","","","","","","","20180000","","","3y"
"90362","A01a - Healthy life expectancy at birth (Male)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (pre 4/19)","Male","All ages","","","2011 - 13","65.1539","61.9087","68.3991","","","","","","","","","20180000","","","3y"
"90362","A01a - Healthy life expectancy at birth (Male)","","","E92000001","England","England","Male","All ages","","","2012 - 14","63.375","63.2163","63.5336","","","","","","","","","20180000","","","3y"
"90362","A01a - Healthy life expectancy at birth (Male)","E92000001","England","E12000007","London region","Government Office Region","Male","All ages","","","2012 - 14","63.8117","63.347","64.2763","","","","","","","","","20180000","","","3y"
"90362","A01a - Healthy life expectancy at birth (Male)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (pre 4/19)","Male","All ages","","","2012 - 14","59.3056","55.8382","62.773","","","","","","","","","20180000","","","3y"
"90362","A01a - Healthy life expectancy at birth (Male)","","","E92000001","England","England","Male","All ages","","","2013 - 15","63.3752","63.2138","63.5365","","","","","","","","","20180000","","","3y"
"90362","A01a - Healthy life expectancy at birth (Male)","E92000001","England","E12000007","London region","Government Office Region","Male","All ages","","","2013 - 15","64.1137","63.6464","64.5811","","","","","","","","","20180000","","","3y"
"90362","A01a - Healthy life expectancy at birth (Male)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (pre 4/19)","Male","All ages","","","2013 - 15","59.4828","56.0322","62.9333","","","","","","","","","20180000","","","3y"
"90362","A01a - Healthy life expectancy at birth (Male)","","","E92000001","England","England","Male","All ages","","","2014 - 16","63.309","63.1452","63.4728","","","","","","","","","20180000","","","3y"
"90362","A01a - Healthy life expectancy at birth (Male)","E92000001","England","E12000007","London region","Government Office Region","Male","All ages","","","2014 - 16","63.4584","62.9648","63.952","","","","","","","","","20180000","","","3y"
"90362","A01a - Healthy life expectancy at birth (Male)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (pre 4/19)","Male","All ages","","","2014 - 16","58.5319","55.0885","61.9753","","","","","","","","","20180000","","","3y"
"90362","A01a - Healthy life expectancy at birth (Male)","","","E92000001","England","England","Male","All ages","","","2015 - 17","63.3788","63.2137","63.5438","","","","","","","","","20180000","","","3y"
"90362","A01a - Healthy life expectancy at birth (Male)","E92000001","England","E12000007","London region","Government Office Region","Male","All ages","","","2015 - 17","63.894","63.3862","64.4017","","","","","","","","","20180000","","","3y"
"90362","A01a - Healthy life expectancy at birth (Male)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (pre 4/19)","Male","All ages","","","2015 - 17","59.4183","56.2081","62.6286","","","","","","","","","20180000","","","3y"
"90362","A01a - Healthy life expectancy at birth (Male)","","","E92000001","England","England","Male","All ages","","","2016 - 18","63.3576","63.1896","63.5255","","","","","","","","","20180000","","","3y"
"90362","A01a - Healthy life expectancy at birth (Male)","E92000001","England","E12000007","London region","Government Office Region","Male","All ages","","","2016 - 18","64.1566","63.643","64.6701","","","","","","","","","20180000","","","3y"
"90362","A01a - Healthy life expectancy at birth (Male)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (pre 4/19)","Male","All ages","","","2016 - 18","60.8826","57.6469","64.1184","","","","","","","","","20180000","","","3y"
"90362","A01a - Healthy life expectancy at birth (Male)","","","E92000001","England","England","Male","All ages","","","2017 - 19","63.18","63.01","63.35","","","","","","","","","20180000","","","3y"
"90362","A01a - Healthy life expectancy at birth (Male)","E92000001","England","E12000007","London region","Government Office Region","Male","All ages","","","2017 - 19","63.52","62.99","64.05","","","","","","","","","20180000","","","3y"
"90362","A01a - Healthy life expectancy at birth (Male)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (pre 4/19)","Male","All ages","","","2017 - 19","62.9","59.9","65.89","","","","","","","","","20180000","","","3y"
"90362","A01a - Healthy life expectancy at birth (Male)","","","E92000001","England","England","Male","All ages","","","2018 - 20","63.14","62.94","63.34","","","","","","","","","20180000","","","3y"
"90362","A01a - Healthy life expectancy at birth (Male)","E92000001","England","E12000007","London region","Government Office Region","Male","All ages","","","2018 - 20","63.76","63.06","64.45","","","","","","","","","20180000","","","3y"
"90362","A01a - Healthy life expectancy at birth (Male)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (pre 4/19)","Male","All ages","","","2018 - 20","60.92","57.59","64.25","","","","","","Cannot be calculated","","","20180000","","","3y"
