"Indicator ID","Indicator Name","Parent Code","Parent Name","Area Code","AreaName","Area Type","Sex","Age","Category Type","Category","Time period","Value","Lower CI 95.0 limit","Upper CI 95.0 limit","Lower CI 99.8 limit","Upper CI 99.8 limit","Count","Denominator","Value note","Recent Trend","Compared to England value or percentiles","Compared to parent value or percentiles","Time period Sortable","New data","Compared to goal","Time period range"
"219","Hypertension: QOF prevalence (all ages)","","","E92000001","England","England","Persons","All ages","","","2013/14","13.7339","13.7249","13.7429","","","7735592","56324887","","","","","20210000","","","1y"
"219","Hypertension: QOF prevalence (all ages)","E92000001","England","E92000001","England","England","Persons","All ages","","","2013/14","13.7339","13.7249","13.7429","","","7735592","56324887","","","","","20210000","","","1y"
"219","Hypertension: QOF prevalence (all ages)","E92000001","England","E09000022","Lambeth","Upper tier local authorities (post 4/21)","Persons","All ages","","","2013/14","9.4827","9.3875","9.5788","","","34153","360160","","","","","20210000","","","1y"
"219","Hypertension: QOF prevalence (all ages)","","","E92000001","England","England","Persons","All ages","","","2014/15","13.7876","13.7786","13.7965","","","7833779","56817654","","","","","20210000","","","1y"
"219","Hypertension: QOF prevalence (all ages)","E92000001","England","E92000001","England","England","Persons","All ages","","","2014/15","13.7876","13.7786","13.7965","","","7833779","56817654","","","","","20210000","","","1y"
"219","Hypertension: QOF prevalence (all ages)","E92000001","England","E09000022","Lambeth","Upper tier local authorities (post 4/21)","Persons","All ages","","","2014/15","9.6114","9.5165","9.7071","","","35322","367501","","","","","20210000","","","1y"
"219","Hypertension: QOF prevalence (all ages)","","","E92000001","England","England","Persons","All ages","","","2015/16","13.813","13.804","13.8219","","","7949274","57549410","","","","","20210000","","","1y"
"219","Hypertension: QOF prevalence (all ages)","E92000001","England","E92000001","England","England","Persons","All ages","","","2015/16","13.813","13.804","13.8219","","","7949274","57549410","","","","","20210000","","","1y"
"219","Hypertension: QOF prevalence (all ages)","E92000001","England","E09000022","Lambeth","Upper tier local authorities (post 4/21)","Persons","All ages","","","2015/16","9.3914","9.2989","9.4847","","","35565","378698","","","","","20210000","","","1y"
"219","Hypertension: QOF prevalence (all ages)","","","E92000001","England","England","Persons","All ages","","","2016/17","13.8346","13.8257","13.8434","","","8028077","58029147","","","","","20210000","","","1y"
"219","Hypertension: QOF prevalence (all ages)","E92000001","England","E92000001","England","England","Persons","All ages","","","2016/17","13.8346","13.8257","13.8434","","","8028077","58029147","","","","","20210000","","","1y"
"219","Hypertension: QOF prevalence (all ages)","E92000001","England","E09000022","Lambeth","Upper tier local authorities (post 4/21)","Persons","All ages","","","2016/17","9.4447","9.3526","9.5376","","","36272","384047","","","","","20210000","","","1y"
"219","Hypertension: QOF prevalence (all ages)","","","E92000001","England","England","Persons","All ages","","","2017/18","13.9449","13.936","13.9538","13.9309","13.9589","8141488","58383266","","","","","20210000","","","1y"
"219","Hypertension: QOF prevalence (all ages)","E92000001","England","E92000001","England","England","Persons","All ages","","","2017/18","13.9449","13.936","13.9538","13.9309","13.9589","8141488","58383266","","","","","20210000","","","1y"
"219","Hypertension: QOF prevalence (all ages)","E92000001","England","E09000022","Lambeth","Upper tier local authorities (post 4/21)","Persons","All ages","","","2017/18","9.3925","9.3026","9.4832","9.251","9.5359","37643","400778","","","","","20210000","","","1y"
"219","Hypertension: QOF prevalence (all ages)","","","E92000001","England","England","Persons","All ages","","","2018/19","13.9603","13.9515","13.9691","13.9464","13.9742","8290457","59386096","There is a data quality issue with this value. Potential underestimate of the value due to double counting of patients in QOF","","","","20210000","","","1y"
"219","Hypertension: QOF prevalence (all ages)","E92000001","England","E92000001","England","England","Persons","All ages","","","2018/19","13.9603","13.9515","13.9691","13.9464","13.9742","8290457","59386096","","","","","20210000","","","1y"
"219","Hypertension: QOF prevalence (all ages)","E92000001","England","E09000022","Lambeth","Upper tier local authorities (post 4/21)","Persons","All ages","","","2018/19","9.4169","9.3279","9.5066","9.277","9.5587","38665","410592","","","","","20210000","","","1y"
"219","Hypertension: QOF prevalence (all ages)","","","E92000001","England","England","Persons","All ages","","","2019/20","14.0957","14.0869","14.1045","14.0819","14.1095","8514885","60407685","","","","","20210000","","","1y"
"219","Hypertension: QOF prevalence (all ages)","E92000001","England","E92000001","England","England","Persons","All ages","","","2019/20","14.0957","14.0869","14.1045","14.0819","14.1095","8514885","60407685","","","","","20210000","","","1y"
"219","Hypertension: QOF prevalence (all ages)","E92000001","England","E09000022","Lambeth","Upper tier local authorities (post 4/21)","Persons","All ages","","","2019/20","9.4022","9.3143","9.4909","9.2639","9.5424","39430","419369","","","","","20210000","","","1y"
"219","Hypertension: QOF prevalence (all ages)","","","E92000001","England","England","Persons","All ages","","","2020/21","13.9297","13.921","13.9384","13.916","13.9435","8457600","60716244","","","","","20210000","","","1y"
"219","Hypertension: QOF prevalence (all ages)","E92000001","England","E92000001","England","England","Persons","All ages","","","2020/21","13.9297","13.921","13.9384","13.916","13.9435","8457600","60716244","","","","","20210000","","","1y"
"219","Hypertension: QOF prevalence (all ages)","E92000001","England","E09000022","Lambeth","Upper tier local authorities (post 4/21)","Persons","All ages","","","2020/21","9.3494","9.2613","9.4383","9.2108","9.49","38834","415362","","","","","20210000","","","1y"
"219","Hypertension: QOF prevalence (all ages)","","","E92000001","England","England","Persons","All ages","","","2021/22","13.9688","13.9601","13.9774","13.9551","13.9824","8604825","61600389","","","","","20210000","","","1y"
"219","Hypertension: QOF prevalence (all ages)","E92000001","England","E92000001","England","England","Persons","All ages","","","2021/22","13.9688","13.9601","13.9774","13.9551","13.9824","8604825","61600389","","","","","20210000","","","1y"
"219","Hypertension: QOF prevalence (all ages)","E92000001","England","E09000022","Lambeth","Upper tier local authorities (post 4/21)","Persons","All ages","","","2021/22","9.1853","9.0988","9.2724","9.0493","9.3231","39057","425214","","","","","20210000","","","1y"
