"Indicator ID","Indicator Name","Parent Code","Parent Name","Area Code","AreaName","Area Type","Sex","Age","Category Type","Category","Time period","Value","Lower CI 95.0 limit","Upper CI 95.0 limit","Lower CI 99.8 limit","Upper CI 99.8 limit","Count","Denominator","Value note","Recent Trend","Compared to England value or percentiles","Compared to parent value or percentiles","Time period Sortable","New data","Compared to goal","Time period range"
"93014","C17a - Percentage of physically active adults","","","E92000001","England","England","Persons","19+ yrs","","","2015/16","66.1336","65.9187","66.3444","65.8021","66.4667","","192158","","","","","20210000","","","1y"
"93014","C17a - Percentage of physically active adults","E92000001","England","E12000007","London region","Government Office Region","Persons","19+ yrs","","","2015/16","65.7583","65.0954","66.4354","64.696","66.7718","","19029","","","","","20210000","","","1y"
"93014","C17a - Percentage of physically active adults","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (post 4/21)","Persons","19+ yrs","","","2015/16","70.8322","67.8801","73.6617","66.06","75.3747","","934","","","","","20210000","","","1y"
"93014","C17a - Percentage of physically active adults","","","E92000001","England","England","Persons","19+ yrs","","","2016/17","66.0051","65.7958","66.2148","65.6636","66.3101","","189959","","","","","20210000","","","1y"
"93014","C17a - Percentage of physically active adults","E92000001","England","E12000007","London region","Government Office Region","Persons","19+ yrs","","","2016/17","64.6419","63.9511","65.3142","63.5593","65.7651","","18633","","","","","20210000","","","1y"
"93014","C17a - Percentage of physically active adults","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (post 4/21)","Persons","19+ yrs","","","2016/17","71.1379","68.2902","73.9896","66.2176","75.6478","","965","","","","","20210000","","","1y"
"93014","C17a - Percentage of physically active adults","","","E92000001","England","England","Persons","19+ yrs","","","2017/18","66.2597","66.0377","66.4782","65.9071","66.6065","","174570","","","","","20210000","","","1y"
"93014","C17a - Percentage of physically active adults","E92000001","England","E12000007","London region","Government Office Region","Persons","19+ yrs","","","2017/18","66.4097","65.6668","67.1314","65.1935","67.5472","","15635","","","","","20210000","","","1y"
"93014","C17a - Percentage of physically active adults","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (post 4/21)","Persons","19+ yrs","","","2017/18","72.3629","68.4536","76.2887","65.7732","78.3505","","485","","","","","20210000","","","1y"
"93014","C17a - Percentage of physically active adults","","","E92000001","England","England","Persons","19+ yrs","","","2018/19","67.2081","66.988","67.4271","66.8643","67.5445","","176260","","","","","20210000","","","1y"
"93014","C17a - Percentage of physically active adults","E92000001","England","E12000007","London region","Government Office Region","Persons","19+ yrs","","","2018/19","66.5822","65.8392","67.3248","65.4019","67.7556","","15550","","","","","20210000","","","1y"
"93014","C17a - Percentage of physically active adults","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (post 4/21)","Persons","19+ yrs","","","2018/19","73.0369","69.0722","76.9072","66.8041","78.9691","","485","","","","","20210000","","","1y"
"93014","C17a - Percentage of physically active adults","","","E92000001","England","England","Persons","19+ yrs","","","2019/20","66.3814","66.156","66.598","66.0201","66.7153","","172187","","","","","20210000","","","1y"
"93014","C17a - Percentage of physically active adults","E92000001","England","E12000007","London region","Government Office Region","Persons","19+ yrs","","","2019/20","65.1623","64.4449","65.9091","64.0438","66.3484","","15708","","","","","20210000","","","1y"
"93014","C17a - Percentage of physically active adults","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (post 4/21)","Persons","19+ yrs","","","2019/20","74.9329","70.8861","78.692","68.9871","80.8017","","474","","","","","20210000","","","1y"
"93014","C17a - Percentage of physically active adults","","","E92000001","England","England","Persons","19+ yrs","","","2020/21","65.9373","65.7169","66.1634","65.5988","66.2787","","172680","","","","","20210000","","","1y"
"93014","C17a - Percentage of physically active adults","E92000001","England","E12000007","London region","Government Office Region","Persons","19+ yrs","","","2020/21","64.8624","64.0964","65.5839","63.7022","66.0162","","15731","","","","","20210000","","","1y"
"93014","C17a - Percentage of physically active adults","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (post 4/21)","Persons","19+ yrs","","","2020/21","73.4195","69.5652","77.2727","67.3913","79.249","","506","","Cannot be calculated","","","20210000","","","1y"
