"Indicator ID","Indicator Name","Parent Code","Parent Name","Area Code","AreaName","Area Type","Sex","Age","Category Type","Category","Time period","Value","Lower CI 95.0 limit","Upper CI 95.0 limit","Lower CI 99.8 limit","Upper CI 99.8 limit","Count","Denominator","Value note","Recent Trend","Compared to England value or percentiles","Compared to parent value or percentiles","Time period Sortable","New data","Compared to goal","Time period range"
"20601","C09a - Reception: Prevalence of overweight (including obesity)","","","E92000001","England","England","Persons","4-5 yrs","","","2006/07","22.9439","22.819","23.0692","22.7472","23.1417","99548","433876","","","","","20210000","","","1y"
"20601","C09a - Reception: Prevalence of overweight (including obesity)","E92000001","England","E12000007","London region","Government Office Region","Persons","4-5 yrs","","","2006/07","","","","","","","","Value not published for data quality reasons","","","","20210000","","","1y"
"20601","C09a - Reception: Prevalence of overweight (including obesity)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (post 4/21)","Persons","4-5 yrs","","","2006/07","28.2609","22.3347","33.8059","19.6297","37.5516","65","230","","","","","20210000","","","1y"
"20601","C09a - Reception: Prevalence of overweight (including obesity)","","","E92000001","England","England","Persons","4-5 yrs","","","2007/08","22.5983","22.4799","22.7172","22.4118","22.786","107839","477199","","","","","20210000","","","1y"
"20601","C09a - Reception: Prevalence of overweight (including obesity)","E92000001","England","E12000007","London region","Government Office Region","Persons","4-5 yrs","","","2007/08","22.8907","22.5868","23.1986","22.4126","23.3771","16590","72475","","","","","20210000","","","1y"
"20601","C09a - Reception: Prevalence of overweight (including obesity)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (post 4/21)","Persons","4-5 yrs","","","2007/08","26.6537","24.9039","28.3178","23.9735","29.3517","685","2570","","","","","20210000","","","1y"
"20601","C09a - Reception: Prevalence of overweight (including obesity)","","","E92000001","England","England","Persons","4-5 yrs","","","2008/09","22.7821","22.6667","22.8978","22.6004","22.9648","115308","506135","","","","","20210000","","","1y"
"20601","C09a - Reception: Prevalence of overweight (including obesity)","E92000001","England","E12000007","London region","Government Office Region","Persons","4-5 yrs","","","2008/09","23.5946","23.2984","23.8992","23.1272","24.0744","18110","76755","","","","","20210000","","","1y"
"20601","C09a - Reception: Prevalence of overweight (including obesity)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (post 4/21)","Persons","4-5 yrs","","","2008/09","27.8656","26.0966","29.5878","25.1422","30.642","705","2530","","","","","20210000","","","1y"
"20601","C09a - Reception: Prevalence of overweight (including obesity)","","","E92000001","England","England","Persons","4-5 yrs","","","2009/10","23.106","22.9924","23.2201","22.927","23.286","121653","526499","","","","","20210000","","","1y"
"20601","C09a - Reception: Prevalence of overweight (including obesity)","E92000001","England","E12000007","London region","Government Office Region","Persons","4-5 yrs","","","2009/10","24.3471","24.053","24.6456","23.884","24.8182","19625","80605","","","","","20210000","","","1y"
"20601","C09a - Reception: Prevalence of overweight (including obesity)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (post 4/21)","Persons","4-5 yrs","","","2009/10","27.1047","25.317","28.845","24.3557","29.9134","660","2435","","","","","20210000","","","1y"
"20601","C09a - Reception: Prevalence of overweight (including obesity)","","","E92000001","England","England","Persons","4-5 yrs","","","2010/11","22.6185","22.5073","22.7302","22.4433","22.7948","122424","541255","","","","","20210000","","","1y"
"20601","C09a - Reception: Prevalence of overweight (including obesity)","E92000001","England","E12000007","London region","Government Office Region","Persons","4-5 yrs","","","2010/11","23.5123","23.2244","23.7978","23.0608","23.965","19755","84020","","","","","20210000","","","1y"
"20601","C09a - Reception: Prevalence of overweight (including obesity)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (post 4/21)","Persons","4-5 yrs","","","2010/11","25.4448","23.8162","27.0345","22.9398","28.0105","715","2810","","","","","20210000","","","1y"
"20601","C09a - Reception: Prevalence of overweight (including obesity)","","","E92000001","England","England","Persons","4-5 yrs","","","2011/12","22.5587","22.45","22.6678","22.3874","22.7309","127606","565662","","","","","20210000","","","1y"
"20601","C09a - Reception: Prevalence of overweight (including obesity)","E92000001","England","E12000007","London region","Government Office Region","Persons","4-5 yrs","","","2011/12","23.3404","23.0617","23.6159","22.9036","23.7775","20885","89480","","","","","20210000","","","1y"
"20601","C09a - Reception: Prevalence of overweight (including obesity)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (post 4/21)","Persons","4-5 yrs","","","2011/12","22.9617","21.4425","24.4476","20.6286","25.364","690","3005","","","","","20210000","","","1y"
"20601","C09a - Reception: Prevalence of overweight (including obesity)","","","E92000001","England","England","Persons","4-5 yrs","","","2012/13","22.2312","22.1251","22.3377","22.0641","22.3993","130648","587678","","","","","20210000","","","1y"
"20601","C09a - Reception: Prevalence of overweight (including obesity)","E92000001","England","E12000007","London region","Government Office Region","Persons","4-5 yrs","","","2012/13","23.0266","22.7561","23.2945","22.6025","23.4514","21630","93935","","","","","20210000","","","1y"
"20601","C09a - Reception: Prevalence of overweight (including obesity)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (post 4/21)","Persons","4-5 yrs","","","2012/13","23.7024","22.2551","25.3578","21.4135","26.3025","685","2890","","","","","20210000","","","1y"
"20601","C09a - Reception: Prevalence of overweight (including obesity)","","","E92000001","England","England","Persons","4-5 yrs","","","2013/14","22.5409","22.4343","22.648","22.3729","22.7099","132391","587336","","","","","20210000","","","1y"
"20601","C09a - Reception: Prevalence of overweight (including obesity)","E92000001","England","E12000007","London region","Government Office Region","Persons","4-5 yrs","","","2013/14","23.1622","22.8919","23.4305","22.7382","23.5874","21835","94270","","","","","20210000","","","1y"
"20601","C09a - Reception: Prevalence of overweight (including obesity)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (post 4/21)","Persons","4-5 yrs","","","2013/14","24.6935","23.0698","26.2281","22.2113","27.1876","705","2855","","","","","20210000","","","1y"
"20601","C09a - Reception: Prevalence of overweight (including obesity)","","","E92000001","England","England","Persons","4-5 yrs","","","2014/15","21.8857","21.7822","21.9896","21.7226","22.0497","133642","610636","","","","","20210000","","","1y"
"20601","C09a - Reception: Prevalence of overweight (including obesity)","E92000001","England","E12000007","London region","Government Office Region","Persons","4-5 yrs","","","2014/15","22.1624","21.8996","22.4236","21.7502","22.5764","21390","96515","","","","","20210000","","","1y"
"20601","C09a - Reception: Prevalence of overweight (including obesity)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (post 4/21)","Persons","4-5 yrs","","","2014/15","23.6395","22.1643","25.2353","21.3311","26.1702","695","2940","","","","","20210000","","","1y"
"20601","C09a - Reception: Prevalence of overweight (including obesity)","","","E92000001","England","England","Persons","4-5 yrs","","","2015/16","22.1376","22.0348","22.2407","21.9758","22.3002","138432","625326","","","","","20210000","","","1y"
"20601","C09a - Reception: Prevalence of overweight (including obesity)","E92000001","England","E12000007","London region","Government Office Region","Persons","4-5 yrs","","","2015/16","21.9713","21.7113","22.2314","21.563","22.3829","21400","97400","","","","","20210000","","","1y"
"20601","C09a - Reception: Prevalence of overweight (including obesity)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (post 4/21)","Persons","4-5 yrs","","","2015/16","23.4375","21.8587","24.9484","21.0218","25.8904","675","2880","","","","","20210000","","","1y"
"20601","C09a - Reception: Prevalence of overweight (including obesity)","","","E92000001","England","England","Persons","4-5 yrs","","","2016/17","22.6292","22.526","22.7328","22.4666","22.7926","142419","629359","","","","","20210000","","","1y"
"20601","C09a - Reception: Prevalence of overweight (including obesity)","E92000001","England","E12000007","London region","Government Office Region","Persons","4-5 yrs","","","2016/17","22.3112","22.0537","22.5734","21.9054","22.7249","22000","98605","","","","","20210000","","","1y"
"20601","C09a - Reception: Prevalence of overweight (including obesity)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (post 4/21)","Persons","4-5 yrs","","","2016/17","24.4828","22.8689","25.9927","22.0199","26.942","710","2900","","","","","20210000","","","1y"
"20601","C09a - Reception: Prevalence of overweight (including obesity)","","","E92000001","England","England","Persons","4-5 yrs","","","2017/18","22.3752","22.2708","22.4799","22.2108","22.5405","136586","610435","","","","","20210000","","","1y"
"20601","C09a - Reception: Prevalence of overweight (including obesity)","E92000001","England","E12000007","London region","Government Office Region","Persons","4-5 yrs","","","2017/18","21.8406","21.5809","22.1042","21.4317","22.2567","20920","95785","","","","","20210000","","","1y"
"20601","C09a - Reception: Prevalence of overweight (including obesity)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (post 4/21)","Persons","4-5 yrs","","","2017/18","23.7847","22.3149","25.4269","21.4707","26.3744","685","2880","","","","","20210000","","","1y"
"20601","C09a - Reception: Prevalence of overweight (including obesity)","","","E92000001","England","England","Persons","4-5 yrs","","","2018/19","22.5857","22.4799","22.6919","22.419","22.7533","135020","597812","","","","","20210000","","","1y"
"20601","C09a - Reception: Prevalence of overweight (including obesity)","E92000001","England","E12000007","London region","Government Office Region","Persons","4-5 yrs","","","2018/19","21.7654","21.5019","22.0329","21.3505","22.1878","20195","92785","","","","","20210000","","","1y"
"20601","C09a - Reception: Prevalence of overweight (including obesity)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (post 4/21)","Persons","4-5 yrs","","","2018/19","22.9508","21.3649","24.5062","20.5167","25.4665","630","2745","","","","","20210000","","","1y"
"20601","C09a - Reception: Prevalence of overweight (including obesity)","","","E92000001","England","England","Persons","4-5 yrs","","","2019/20","22.9612","22.831","23.0919","22.7562","23.1675","91723","399470","","","","","20210000","","","1y"
"20601","C09a - Reception: Prevalence of overweight (including obesity)","E92000001","England","E12000007","London region","Government Office Region","Persons","4-5 yrs","","","2019/20","21.6225","21.308","21.9427","21.1276","22.1282","13980","64655","","","","","20210000","","","1y"
"20601","C09a - Reception: Prevalence of overweight (including obesity)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (post 4/21)","Persons","4-5 yrs","","","2019/20","23.4513","21.7171","25.208","20.7795","26.2792","530","2260","","","","","20210000","","","1y"
"20601","C09a - Reception: Prevalence of overweight (including obesity)","","","E92000001","England","England","Persons","4-5 yrs","","","2020/21","27.7276","27.4845","27.972","27.3449","28.1135","35931.0525","129586.038295239","","","","","20210000","","","1y"
"20601","C09a - Reception: Prevalence of overweight (including obesity)","E92000001","England","E12000007","London region","Government Office Region","Persons","4-5 yrs","","","2020/21","27.1849","26.5831","27.8103","26.2358","28.1705","5490","20195","","","","","20210000","","","1y"
"20601","C09a - Reception: Prevalence of overweight (including obesity)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (post 4/21)","Persons","4-5 yrs","","","2020/21","","","","","","","","Value not published for data quality reasons","","","","20210000","","","1y"
"20601","C09a - Reception: Prevalence of overweight (including obesity)","","","E92000001","England","England","Persons","4-5 yrs","","","2021/22","22.2547","22.1469","22.363","22.0848","22.4255","126701","569322","","","","","20210000","","","1y"
"20601","C09a - Reception: Prevalence of overweight (including obesity)","E92000001","England","E12000007","London region","Government Office Region","Persons","4-5 yrs","","","2021/22","21.8857","21.6107","22.1618","21.4537","22.3226","18930","86495","","","","","20210000","","","1y"
"20601","C09a - Reception: Prevalence of overweight (including obesity)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (post 4/21)","Persons","4-5 yrs","","","2021/22","22.9437","21.2562","24.6813","20.337","25.7335","530","2310","","No significant change","","","20210000","","","1y"
