"Indicator ID","Indicator Name","Parent Code","Parent Name","Area Code","AreaName","Area Type","Sex","Age","Category Type","Category","Time period","Value","Lower CI 95.0 limit","Upper CI 95.0 limit","Lower CI 99.8 limit","Upper CI 99.8 limit","Count","Denominator","Value note","Recent Trend","Compared to England value or percentiles","Compared to parent value or percentiles","Time period Sortable","New data","Compared to goal","Time period range"
"91306","D02b - New STI diagnoses (excluding chlamydia aged under 25) per 100,000","","","E92000001","England","England","Persons","All ages","","","2012","566.8832","564.8674","568.9045","","","303247","53493729","","","","","20210000","","","1y"
"91306","D02b - New STI diagnoses (excluding chlamydia aged under 25) per 100,000","E92000001","England","E12000007","London region","Government Office Region","Persons","All ages","","","2012","1079.7666","1072.7124","1086.8555","","","89716","8308833","","","","","20210000","","","1y"
"91306","D02b - New STI diagnoses (excluding chlamydia aged under 25) per 100,000","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (post 4/21)","Persons","All ages","","","2012","2503.1838","2447.739","2559.5681","","","7744","309366","","","","","20210000","","","1y"
"91306","D02b - New STI diagnoses (excluding chlamydia aged under 25) per 100,000","","","E92000001","England","England","Persons","All ages","","","2013","571.6965","569.6791","573.7193","","","307949","53865817","","","","","20210000","","","1y"
"91306","D02b - New STI diagnoses (excluding chlamydia aged under 25) per 100,000","E92000001","England","E12000007","London region","Government Office Region","Persons","All ages","","","2013","1088.9154","1081.8773","1095.988","","","91659","8417458","","","","","20210000","","","1y"
"91306","D02b - New STI diagnoses (excluding chlamydia aged under 25) per 100,000","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (post 4/21)","Persons","All ages","","","2013","2744.1638","2686.4055","2802.8508","","","8581","312700","","","","","20210000","","","1y"
"91306","D02b - New STI diagnoses (excluding chlamydia aged under 25) per 100,000","","","E92000001","England","England","Persons","All ages","","","2014","574.7265","572.7122","576.7462","","","312172","54316618","","","","","20210000","","","1y"
"91306","D02b - New STI diagnoses (excluding chlamydia aged under 25) per 100,000","E92000001","England","E12000007","London region","Government Office Region","Persons","All ages","","","2014","1147.9147","1140.7397","1155.1235","","","98025","8539398","","","","","20210000","","","1y"
"91306","D02b - New STI diagnoses (excluding chlamydia aged under 25) per 100,000","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (post 4/21)","Persons","All ages","","","2014","2936.8015","2877.4106","2997.1094","","","9299","316637","","","","","20210000","","","1y"
"91306","D02b - New STI diagnoses (excluding chlamydia aged under 25) per 100,000","","","E92000001","England","England","Persons","All ages","","","2015","558.9095","556.9316","560.8927","","","306206","54786327","","","","","20210000","","","1y"
"91306","D02b - New STI diagnoses (excluding chlamydia aged under 25) per 100,000","E92000001","England","E12000007","London region","Government Office Region","Persons","All ages","","","2015","1165.5916","1158.4148","1172.8016","","","101021","8666930","","","","","20210000","","","1y"
"91306","D02b - New STI diagnoses (excluding chlamydia aged under 25) per 100,000","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (post 4/21)","Persons","All ages","","","2015","2906.4402","2847.7356","2966.0503","","","9322","320736","","","","","20210000","","","1y"
"91306","D02b - New STI diagnoses (excluding chlamydia aged under 25) per 100,000","","","E92000001","England","England","Persons","All ages","","","2016","527.4348","525.5218","529.353","","","291503","55268067","","","","","20210000","","","1y"
"91306","D02b - New STI diagnoses (excluding chlamydia aged under 25) per 100,000","E92000001","England","E12000007","London region","Government Office Region","Persons","All ages","","","2016","1075.3782","1068.5256","1082.2638","","","94307","8769659","","","","","20210000","","","1y"
"91306","D02b - New STI diagnoses (excluding chlamydia aged under 25) per 100,000","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (post 4/21)","Persons","All ages","","","2016","2542.2285","2487.5415","2597.8149","","","8213","323063","","","","","20210000","","","1y"
"91306","D02b - New STI diagnoses (excluding chlamydia aged under 25) per 100,000","","","E92000001","England","England","Persons","All ages","","","2017","528.2578","526.3494","530.1714","","","293814","55619430","","","","","20210000","","","1y"
"91306","D02b - New STI diagnoses (excluding chlamydia aged under 25) per 100,000","E92000001","England","E12000007","London region","Government Office Region","Persons","All ages","","","2017","1074.2775","1067.45","1081.1379","","","94805","8825001","","","","","20210000","","","1y"
"91306","D02b - New STI diagnoses (excluding chlamydia aged under 25) per 100,000","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (post 4/21)","Persons","All ages","","","2017","2443.7737","2390.2429","2498.2012","","","7919","324048","","","","","20210000","","","1y"
"91306","D02b - New STI diagnoses (excluding chlamydia aged under 25) per 100,000","","","E92000001","England","England","Persons","All ages","","","2018","558.2061","556.2505","560.1667","","","312468","55977178","","","","","20210000","","","1y"
"91306","D02b - New STI diagnoses (excluding chlamydia aged under 25) per 100,000","E92000001","England","E12000007","London region","Government Office Region","Persons","All ages","","","2018","1192.5352","1185.3746","1199.7283","","","106232","8908081","","","","","20210000","","","1y"
"91306","D02b - New STI diagnoses (excluding chlamydia aged under 25) per 100,000","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (post 4/21)","Persons","All ages","","","2018","2960.5698","2901.7888","3020.2417","","","9649","325917","","","","","20210000","","","1y"
"91306","D02b - New STI diagnoses (excluding chlamydia aged under 25) per 100,000","","","E92000001","England","England","Persons","All ages","","","2019","586.754","584.7546","588.7586","","","330266","56286961","","","","","20210000","","","1y"
