"Indicator ID","Indicator Name","Parent Code","Parent Name","Area Code","AreaName","Area Type","Sex","Age","Category Type","Category","Time period","Value","Lower CI 95.0 limit","Upper CI 95.0 limit","Lower CI 99.8 limit","Upper CI 99.8 limit","Count","Denominator","Value note","Recent Trend","Compared to England value or percentiles","Compared to parent value or percentiles","Time period Sortable","New data","Compared to goal","Time period range"
"91547","Smoking prevalence in adults (15+) - current smokers (QOF)","","","E92000001","England","England","Persons","15+ yrs","","","2013/14","19.1708","19.1595","19.1821","","","8935216","46608551.500242025","","","","","20200000","","","1y"
"91547","Smoking prevalence in adults (15+) - current smokers (QOF)","E92000001","England","E12000007","London region","Government Office Region","Persons","15+ yrs","","","2013/14","18.3908","18.3629","18.4187","","","1362871","7410606.864165519","","","","","20200000","","","1y"
"91547","Smoking prevalence in adults (15+) - current smokers (QOF)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (post 4/21)","Persons","15+ yrs","","","2013/14","21.0464","20.9019","21.1916","","","64049","304323.2420558371","","","","","20200000","","","1y"
"91547","Smoking prevalence in adults (15+) - current smokers (QOF)","","","E92000001","England","England","Persons","15+ yrs","","","2014/15","18.6433","18.6322","18.6544","","","8763228","47004724.946845554","","","","","20200000","","","1y"
"91547","Smoking prevalence in adults (15+) - current smokers (QOF)","E92000001","England","E12000007","London region","Government Office Region","Persons","15+ yrs","","","2014/15","18.0826","18.0552","18.1101","","","1368227","7566530.931097606","","","","","20200000","","","1y"
"91547","Smoking prevalence in adults (15+) - current smokers (QOF)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (post 4/21)","Persons","15+ yrs","","","2014/15","20.6059","20.4642","20.7482","","","64222","311668.2227734467","","","","","20200000","","","1y"
"91547","Smoking prevalence in adults (15+) - current smokers (QOF)","","","E92000001","England","England","Persons","15+ yrs","","","2015/16","18.0823","18.0713","18.0932","","","8603849","47581677","","","","","20200000","","","1y"
"91547","Smoking prevalence in adults (15+) - current smokers (QOF)","E92000001","England","E12000007","London region","Government Office Region","Persons","15+ yrs","","","2015/16","17.653","17.6261","17.6799","","","1360053","7704372","","","","","20200000","","","1y"
"91547","Smoking prevalence in adults (15+) - current smokers (QOF)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (post 4/21)","Persons","15+ yrs","","","2015/16","19.9878","19.8501","20.1263","","","64430","322346","","","","","20200000","","","1y"
"91547","Smoking prevalence in adults (15+) - current smokers (QOF)","","","E92000001","England","England","Persons","15+ yrs","","","2016/17","17.5586","17.5478","17.5693","","","8421069","47959877","","","","","20200000","","","1y"
