"Indicator ID","Indicator Name","Parent Code","Parent Name","Area Code","AreaName","Area Type","Sex","Age","Category Type","Category","Time period","Value","Lower CI 95.0 limit","Upper CI 95.0 limit","Lower CI 99.8 limit","Upper CI 99.8 limit","Count","Denominator","Value note","Recent Trend","Compared to England value or percentiles","Compared to parent value or percentiles","Time period Sortable","New data","Compared to goal","Time period range"
"20602","C09b - Year 6: Prevalence of overweight (including obesity)","","","E92000001","England","England","Persons","10-11 yrs","","","2006/07","31.6533","31.516","31.7909","31.4369","31.8704","139182","439708","","","","","20210000","","","1y"
"20602","C09b - Year 6: Prevalence of overweight (including obesity)","E92000001","England","E12000007","London region","Government Office Region","Persons","10-11 yrs","","","2006/07","","","","","","","","Value not published for data quality reasons","","","","20210000","","","1y"
"20602","C09b - Year 6: Prevalence of overweight (including obesity)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (post 4/21)","Persons","10-11 yrs","","","2006/07","31.3726","25.8846","37.1698","23.1086","40.7399","80","255","","","","","20210000","","","1y"
"20602","C09b - Year 6: Prevalence of overweight (including obesity)","","","E92000001","England","England","Persons","10-11 yrs","","","2007/08","32.5907","32.4603","32.7213","32.3852","32.7968","161415","495280","","","","","20210000","","","1y"
"20602","C09b - Year 6: Prevalence of overweight (including obesity)","E92000001","England","E12000007","London region","Government Office Region","Persons","10-11 yrs","","","2007/08","36.3106","35.9513","36.6665","35.7463","36.8738","25225","69470","","","","","20210000","","","1y"
"20602","C09b - Year 6: Prevalence of overweight (including obesity)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (post 4/21)","Persons","10-11 yrs","","","2007/08","38.7841","36.8795","40.7898","35.7821","41.9404","925","2385","","","","","20210000","","","1y"
"20602","C09b - Year 6: Prevalence of overweight (including obesity)","","","E92000001","England","England","Persons","10-11 yrs","","","2008/09","32.6391","32.509","32.7695","32.4341","32.8448","162455","497731","","","","","20210000","","","1y"
"20602","C09b - Year 6: Prevalence of overweight (including obesity)","E92000001","England","E12000007","London region","Government Office Region","Persons","10-11 yrs","","","2008/09","36.0133","35.6616","36.3705","35.4583","36.576","25375","70460","","","","","20210000","","","1y"
"20602","C09b - Year 6: Prevalence of overweight (including obesity)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (post 4/21)","Persons","10-11 yrs","","","2008/09","41.3044","39.2909","43.311","38.157","44.4879","950","2300","","","","","20210000","","","1y"
"20602","C09b - Year 6: Prevalence of overweight (including obesity)","","","E92000001","England","England","Persons","10-11 yrs","","","2009/10","33.3611","33.2306","33.492","33.1554","33.5675","166762","499869","","","","","20210000","","","1y"
"20602","C09b - Year 6: Prevalence of overweight (including obesity)","E92000001","England","E12000007","London region","Government Office Region","Persons","10-11 yrs","","","2009/10","36.9075","36.5553","37.2621","36.3526","37.4669","26435","71625","","","","","20210000","","","1y"
"20602","C09b - Year 6: Prevalence of overweight (including obesity)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (post 4/21)","Persons","10-11 yrs","","","2009/10","41.6847","39.7519","43.7672","38.6182","44.9415","965","2315","","","","","20210000","","","1y"
"20602","C09b - Year 6: Prevalence of overweight (including obesity)","","","E92000001","England","England","Persons","10-11 yrs","","","2010/11","33.4079","33.2767","33.5394","33.2011","33.6153","165487","495353","","","","","20210000","","","1y"
"20602","C09b - Year 6: Prevalence of overweight (including obesity)","E92000001","England","E12000007","London region","Government Office Region","Persons","10-11 yrs","","","2010/11","37.08","36.7266","37.4299","36.5248","37.6337","26870","72465","","","","","20210000","","","1y"
"20602","C09b - Year 6: Prevalence of overweight (including obesity)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (post 4/21)","Persons","10-11 yrs","","","2010/11","39.7938","37.9041","41.7981","36.8086","42.9413","965","2425","","","","","20210000","","","1y"
"20602","C09b - Year 6: Prevalence of overweight (including obesity)","","","E92000001","England","England","Persons","10-11 yrs","","","2011/12","33.8935","33.7612","34.026","33.6851","34.1025","166457","491118","","","","","20210000","","","1y"
"20602","C09b - Year 6: Prevalence of overweight (including obesity)","E92000001","England","E12000007","London region","Government Office Region","Persons","10-11 yrs","","","2011/12","37.5387","37.1882","37.8922","36.9862","38.0962","27285","72685","","","","","20210000","","","1y"
"20602","C09b - Year 6: Prevalence of overweight (including obesity)","E12000007","London region","E09000022","Lambeth","Upper tier local authorities (post 4/21)","Persons","10-11 yrs","","","2011/12","38.9796","37.0017","40.8608","35.918","41.9958","955","2450","","","","","20210000","","","1y"
"20602","C09b - Year 6: Prevalence of overweight (including obesity)","","","E92000001","England","England","Persons","10-11 yrs","","","2012/13","33.3207","33.1888","33.453","33.1128","33.5293","162987","489146","","","","","20210000","","","1y"
