Dataset name,Deaths (u75) all causes
Brixton Acre Lane,109.4
Brixton North,119.2
Brixton Rush Common,116.8
Brixton Windrush,109.4
Clapham Common & Abbeville,91.6
Clapham East,121
Clapham Park,109.6
Clapham Town,115.8
Gipsy Hill,123.3
Herne Hill & Loughborough Junction,93.4
Kennington,111
Knight's Hill,108.6
Myatt's Fields,114.7
Oval,102
St Martin's,105.3
Stockwell East,116.6
Stockwell West & Larkhall,112.2
Streatham Common & Vale,94.9
Streatham Hill East,95.3
Streatham Hill West & Thornton,90.9
Streatham St Leonard's,107.7
Streatham Wells,100.7
Vauxhall,104.4
Waterloo & South Bank,123
West Dulwich,94.5
England,103.6
London,93.1
Lambeth,107.4
