areaType,areaName,areaCode,date,newWeeklyNsoDeathsByRegDate,cumWeeklyNsoDeathsByRegDate
nation,England,E92000001,2023-02-10,432,182260
nation,England,E92000001,2023-02-03,469,181828
nation,England,E92000001,2023-01-27,545,181359
nation,England,E92000001,2023-01-20,711,180814
nation,England,E92000001,2023-01-13,849,180103
nation,England,E92000001,2023-01-06,679,179254
nation,England,E92000001,2022-12-30,367,178575
nation,England,E92000001,2022-12-23,397,178208
nation,England,E92000001,2022-12-16,364,177811
nation,England,E92000001,2022-12-09,295,177447
nation,England,E92000001,2022-12-02,299,177152
nation,England,E92000001,2022-11-25,333,176853
nation,England,E92000001,2022-11-18,401,176520
nation,England,E92000001,2022-11-11,478,176119
nation,England,E92000001,2022-11-04,605,175641
nation,England,E92000001,2022-10-28,620,175036
nation,England,E92000001,2022-10-21,647,174416
nation,England,E92000001,2022-10-14,523,173769
nation,England,E92000001,2022-10-07,372,173246
nation,England,E92000001,2022-09-30,274,172874
nation,England,E92000001,2022-09-23,217,172600
nation,England,E92000001,2022-09-16,280,172383
nation,England,E92000001,2022-09-09,339,172103
nation,England,E92000001,2022-09-02,297,171764
nation,England,E92000001,2022-08-26,419,171467
nation,England,E92000001,2022-08-19,520,171048
nation,England,E92000001,2022-08-12,561,170528
nation,England,E92000001,2022-08-05,682,169967
nation,England,E92000001,2022-07-29,745,169285
nation,England,E92000001,2022-07-22,697,168540
nation,England,E92000001,2022-07-15,542,167843
nation,England,E92000001,2022-07-08,399,167301
nation,England,E92000001,2022-07-01,309,166902
nation,England,E92000001,2022-06-24,270,166593
nation,England,E92000001,2022-06-17,246,166323
nation,England,E92000001,2022-06-10,271,166077
nation,England,E92000001,2022-06-03,174,165806
nation,England,E92000001,2022-05-27,377,165632
nation,England,E92000001,2022-05-20,528,165255
nation,England,E92000001,2022-05-13,674,164727
nation,England,E92000001,2022-05-06,690,164053
nation,England,E92000001,2022-04-29,1056,163363
nation,England,E92000001,2022-04-22,970,162307
nation,England,E92000001,2022-04-15,951,161337
nation,England,E92000001,2022-04-08,903,160386
nation,England,E92000001,2022-04-01,789,159483
nation,England,E92000001,2022-03-25,734,158694
nation,England,E92000001,2022-03-18,650,157960
nation,England,E92000001,2022-03-11,628,157310
nation,England,E92000001,2022-03-04,621,156682
nation,England,E92000001,2022-02-25,722,156061
nation,England,E92000001,2022-02-18,814,155339
nation,England,E92000001,2022-02-11,1025,154525
nation,England,E92000001,2022-02-04,1162,153500
nation,England,E92000001,2022-01-28,1323,152338
nation,England,E92000001,2022-01-21,1378,151015
nation,England,E92000001,2022-01-14,1308,149637
nation,England,E92000001,2022-01-07,857,148329
nation,England,E92000001,2021-12-31,557,147472
nation,England,E92000001,2021-12-24,797,146915
nation,England,E92000001,2021-12-17,702,146118
nation,England,E92000001,2021-12-10,708,145416
nation,England,E92000001,2021-12-03,729,144708
nation,England,E92000001,2021-11-26,738,143979
nation,England,E92000001,2021-11-19,865,143241
nation,England,E92000001,2021-11-12,943,142376
nation,England,E92000001,2021-11-05,892,141433
nation,England,E92000001,2021-10-29,777,140541
nation,England,E92000001,2021-10-22,708,139764
nation,England,E92000001,2021-10-15,640,139056
nation,England,E92000001,2021-10-08,582,138416
nation,England,E92000001,2021-10-01,715,137834
nation,England,E92000001,2021-09-24,799,137119
nation,England,E92000001,2021-09-17,783,136320
nation,England,E92000001,2021-09-10,786,135537
nation,England,E92000001,2021-09-03,632,134751
nation,England,E92000001,2021-08-27,649,134119
nation,England,E92000001,2021-08-20,551,133470
nation,England,E92000001,2021-08-13,550,132919
