areaType,areaName,areaCode,date,newWeeklyNsoDeathsByRegDate,cumWeeklyNsoDeathsByRegDate
ltla,Lambeth,E09000022,2023-02-10,1,753
ltla,Lambeth,E09000022,2023-02-03,1,752
ltla,Lambeth,E09000022,2023-01-27,0,751
ltla,Lambeth,E09000022,2023-01-20,2,751
ltla,Lambeth,E09000022,2023-01-13,2,749
ltla,Lambeth,E09000022,2023-01-06,2,747
ltla,Lambeth,E09000022,2022-12-30,1,745
ltla,Lambeth,E09000022,2022-12-23,1,744
ltla,Lambeth,E09000022,2022-12-16,0,743
ltla,Lambeth,E09000022,2022-12-09,3,743
ltla,Lambeth,E09000022,2022-12-02,1,740
ltla,Lambeth,E09000022,2022-11-25,0,739
ltla,Lambeth,E09000022,2022-11-18,1,739
ltla,Lambeth,E09000022,2022-11-11,4,738
ltla,Lambeth,E09000022,2022-11-04,1,734
ltla,Lambeth,E09000022,2022-10-28,1,733
ltla,Lambeth,E09000022,2022-10-21,5,732
ltla,Lambeth,E09000022,2022-10-14,1,727
ltla,Lambeth,E09000022,2022-10-07,2,726
ltla,Lambeth,E09000022,2022-09-30,1,724
ltla,Lambeth,E09000022,2022-09-23,1,723
ltla,Lambeth,E09000022,2022-09-16,0,722
ltla,Lambeth,E09000022,2022-09-09,1,722
ltla,Lambeth,E09000022,2022-09-02,1,721
ltla,Lambeth,E09000022,2022-08-26,2,720
ltla,Lambeth,E09000022,2022-08-19,1,718
ltla,Lambeth,E09000022,2022-08-12,1,717
ltla,Lambeth,E09000022,2022-08-05,4,716
ltla,Lambeth,E09000022,2022-07-29,0,712
ltla,Lambeth,E09000022,2022-07-22,1,712
ltla,Lambeth,E09000022,2022-07-15,1,711
ltla,Lambeth,E09000022,2022-07-08,0,710
ltla,Lambeth,E09000022,2022-07-01,6,710
ltla,Lambeth,E09000022,2022-06-24,0,704
ltla,Lambeth,E09000022,2022-06-17,1,704
ltla,Lambeth,E09000022,2022-06-10,1,703
