"","lsoa11cd","lsoa11nm","wd19cd","wd19nm","lad19cd","lad19nm","cty19cd","cty19nm","rgn19cd","rgn19nm","ctry19cd","ctry19nm","fid"
"1","E01003061","Lambeth 011F","E05000421","Ferndale","E09000022","Lambeth","E13000001","Inner London","E12000007","London","E92000001","England",6835
"2","E01003108","Lambeth 002B","E05000427","Prince's","E09000022","Lambeth","E13000001","Inner London","E12000007","London","E92000001","England",6841
"3","E01003109","Lambeth 003E","E05000427","Prince's","E09000022","Lambeth","E13000001","Inner London","E12000007","London","E92000001","England",6841
"4","E01003070","Lambeth 033E","E05000422","Gipsy Hill","E09000022","Lambeth","E13000001","Inner London","E12000007","London","E92000001","England",6836
"5","E01003107","Lambeth 003D","E05000427","Prince's","E09000022","Lambeth","E13000001","Inner London","E12000007","London","E92000001","England",6841
"6","E01003066","Lambeth 028B","E05000422","Gipsy Hill","E09000022","Lambeth","E13000001","Inner London","E12000007","London","E92000001","England",6836
"7","E01003117","Lambeth 029B","E05000428","St Leonard's","E09000022","Lambeth","E13000001","Inner London","E12000007","London","E92000001","England",6842
"8","E01032582","Lambeth 036E","E05000416","Bishop's","E09000022","Lambeth","E13000001","Inner London","E12000007","London","E92000001","England",6830
"9","E01003114","Lambeth 032B","E05000428","St Leonard's","E09000022","Lambeth","E13000001","Inner London","E12000007","London","E92000001","England",6842
"10","E01003067","Lambeth 033C","E05000422","Gipsy Hill","E09000022","Lambeth","E13000001","Inner London","E12000007","London","E92000001","England",6836
"11","E01003115","Lambeth 034A","E05000428","St Leonard's","E09000022","Lambeth","E13000001","Inner London","E12000007","London","E92000001","England",6842
"12","E01003064","Lambeth 028A","E05000422","Gipsy Hill","E09000022","Lambeth","E13000001","Inner London","E12000007","London","E92000001","England",6836
"13","E01003113","Lambeth 032A","E05000428","St Leonard's","E09000022","Lambeth","E13000001","Inner London","E12000007","London","E92000001","England",6842
"14","E01003065","Lambeth 031A","E05000422","Gipsy Hill","E09000022","Lambeth","E13000001","Inner London","E12000007","London","E92000001","England",6836
"15","E01003118","Lambeth 029C","E05000428","St Leonard's","E09000022","Lambeth","E13000001","Inner London","E12000007","London","E92000001","England",6842
"16","E01003062","Lambeth 033A","E05000422","Gipsy Hill","E09000022","Lambeth","E13000001","Inner London","E12000007","London","E92000001","England",6836
"17","E01003016","Lambeth 036C","E05000416","Bishop's","E09000022","Lambeth","E13000001","Inner London","E12000007","London","E92000001","England",6830
"18","E01003119","Lambeth 032C","E05000428","St Leonard's","E09000022","Lambeth","E13000001","Inner London","E12000007","London","E92000001","England",6842
"19","E01003063","Lambeth 033B","E05000422","Gipsy Hill","E09000022","Lambeth","E13000001","Inner London","E12000007","London","E92000001","England",6836
"20","E01003068","Lambeth 031B","E05000422","Gipsy Hill","E09000022","Lambeth","E13000001","Inner London","E12000007","London","E92000001","England",6836
"21","E01003069","Lambeth 033D","E05000422","Gipsy Hill","E09000022","Lambeth","E13000001","Inner London","E12000007","London","E92000001","England",6836
"22","E01003076","Lambeth 014C","E05000423","Herne Hill","E09000022","Lambeth","E13000001","Inner London","E12000007","London","E92000001","England",6837
"23","E01003077","Lambeth 014D","E05000423","Herne Hill","E09000022","Lambeth","E13000001","Inner London","E12000007","London","E92000001","England",6837
